,id,d13c,d18o,path,idx,depth
0,Path A - 1A,-1.5427795860637454,25.55420109329883,A,1,-165
1,Path A - 2A,-2.8476343549056,25.459218022620544,A,2,-165
2,Path A - 3A,-2.2680349017699766,25.677036133549592,A,3,-165
3,Path A - 4A,-3.122818095263908,25.863023422110096,A,4,-165
4,Path A - 5A,-2.698954495188203,25.30555903715003,A,5,-165
5,Path A - 6A,-3.2594019663941296,24.884041933811353,A,6,-165
6,Path A - 7A,-2.986738223658153,25.252026735405877,A,7,-165
7,Path A - 8A,-2.7569144405017654,25.213211323427263,A,8,-165
8,Path A - 9A,-2.996314214623002,25.46619466842668,A,9,-165
9,Path B - 1A,-1.1133719912189168,25.44725465389406,B,1,-155
10,Path B - 2A,-1.2837238304883443,25.568565476764743,B,2,-155
11,Path B - 3A,-1.8154433287997227,25.610811619067892,B,3,-155
12,Path B - 4A,-2.064419093885809,25.68308931214825,B,4,-155
13,Path B - 5A,-2.6223465674694064,25.7222194973578,B,5,-155
14,Path B - 6A,-2.554810631190995,25.599443042661054,B,6,-155
15,Path B - 7A,-2.15110701209392,25.39647984509093,B,7,-155
16,Path B - 8A,-2.433850745319212,25.325142499801405,B,8,-155
17,Path B - 9A,-1.8174593268975858,25.39693363489073,B,9,-155
18,Path C - 1A,-2.9408742669317682,25.46882605348023,C,1,-128
19,Path C - 2A,-2.1581630054364407,25.188774196571455,C,2,-128
20,Path C - 3A,-2.242330926022223,25.366978543226395,C,3,-128
21,Path C - 4A,-2.0392191176625207,25.20325972304738,C,4,-128
22,Path C - 5A,-2.2267069407637843,25.354949638117443,C,5,-128
23,Path C - 6A,-2.2564429127072643,25.780091102001577,C,6,-128
24,Path C - 7A,-2.2141069526521404,25.63955925253407,C,7,-128
25,Path C - 8A,-2.1974749683447694,25.517207791347868,C,8,-128
26,Path C - 9A,-1.8809632669802716,25.193608994241544,C,9,-128
27,Path C - 10A,-2.007467147621178,25.158544050695863,C,1,-128
28,Path D - 1A,-2.0543391033964937,25.404872473948515,D,1,-118
29,Path D - 2A,-2.144051018751399,25.300194983542756,D,2,-118
30,Path D - 3A,-2.0044431504743834,25.503501750633085,D,3,-118
31,Path D - 4A,-1.9873071666425473,25.657383162613787,D,4,-118
32,Path D - 5A,-1.933379217524711,25.31463781207253,D,5,-118
33,Path D - 6A,-1.7710913706467357,25.34631571621532,D,6,-118
34,Path D - 7A,-1.7665553749265444,25.21385874344799,D,7,-118
35,Path D - 8A,-2.2609789084274556,25.356091559933134,D,8,-118
36,Path D - 9A,-2.200498965491564,25.575059536481813,D,9,-118
37,Path D - 10A,-2.403106774326801,25.706523533757238,D,1,-118
38,Path E - 1A,-2.0976830625005496,25.192112580175245,E,1,-108
39,Path E - 2A,-2.2695469003433737,25.169089450419907,E,2,-108
40,Path E - 3A,-1.7211954177246254,25.543886063888905,E,3,-108
41,Path E - 4A,-2.438386741039404,25.542439298597202,E,4,-108
42,Path E - 5A,-2.2690429008189086,25.269206204391345,E,5,-108
43,Path E - 6A,-2.034179122417863,25.253773379296142,E,6,-108
44,Path E - 7A,-1.8255233192890379,25.473289478316346,E,7,-108
45,Path E - 8A,-1.9434592080140258,25.586933537414023,E,8,-108
46,Path E - 9A,-2.6510745403639553,25.80411415807727,E,9,-108
47,Path E - 10A,-3.116770100970319,25.564714717807135,E,1,-108
48,Path F - 1A,-1.4046837163601271,25.465299004532977,F,1,-95
49,Path F - 2A,-1.3225317938722079,25.965744750796805,F,2,-95
50,Path F - 3A,-1.6617234738376658,25.655211525212987,F,3,-95
51,Path F - 4A,-1.6193875137825415,25.42684602860891,F,4,-95
52,Path F - 5A,-1.3996437211154693,25.30409340532398,F,5,-95
53,Path F - 6A,-1.602755529475171,25.259235737477116,F,6,-95
54,Path F - 7A,-1.7363154034585984,25.39628323594353,F,7,-95
55,Path F - 8A,-2.1299390320663583,25.654085491005166,F,8,-95
56,Path F - 9A,-2.5366666483102276,25.839815598913265,F,9,-95
57,Path F - 10A,-2.73373046237634,25.58748761773851,F,1,-95
58,Path G - 1A,-1.2237478870769185,25.520351551755237,G,1,-75
59,Path G - 2A,-1.108331995974259,25.32772820798233,G,2,-75
60,Path G - 3A,-1.5216116060361835,25.4942372892936,G,3,-75
61,Path G - 4A,-1.5281635998542384,25.827890956230963,G,4,-75
62,Path G - 5A,-1.5710035594338283,25.727403822401044,G,5,-75
63,Path G - 6A,-1.7141394243821044,25.573928537396526,G,6,-75
64,Path G - 7A,-1.197539911804699,25.330059714437326,G,7,-75
65,Path G - 8A,-1.3552917629624823,25.449938666648684,G,8,-75
66,Path G - 9A,-1.438955684023799,25.276570110639327,G,9,-75
67,Path G - 10A,-1.602755529475171,25.597170121760083,G,1,-75
