,Identifier 1,d13c,d18o,ref_H,ref_age,age_lin,age_absolute,path,idx,d13c_ma,d18o_ma,depth
0,A- 1A,-2.6963176386230736,25.44064711283221,,67.8,67.8,1996.519,A,1,,,-160.0
1,A- 2A,-2.3114515380870455,25.275009028535152,,,68.06666666666665,1996.7856666666667,A,2,-2.345737636226422,25.29612032055957,-160.0
2,A- 3A,-2.029443731969147,25.172704820311356,H65,68.3333333333333,68.3333333333333,1997.0523333333333,A,3,-2.1911647521591524,25.247865157339685,-160.0
3,A- 4A,-2.232598986421265,25.295881623172537,,,68.47619047619044,1997.1951904761904,A,4,-2.320641912565414,25.259423249496393,-160.0
4,A- 5A,-2.6998830193058296,25.30968330500529,,,68.61904761904759,1997.3380476190478,A,5,-2.6878159485371405,25.313473454834817,-160.0
5,A- 6A,-3.1309658398843263,25.334855436326617,,,68.76190476190473,1997.4809047619049,A,6,-3.019342349409732,25.376748153847554,-160.0
6,A- 7A,-3.22717818903904,25.485705720210753,,,68.90476190476187,1997.623761904762,A,7,-3.083106970490363,25.403492206919736,-160.0
7,A- 8A,-2.8911768825477235,25.389915464221847,,,69.04761904761901,1997.766619047619,A,8,-3.0325247588408644,25.384570631897194,-160.0
8,A- 9A,-2.9792192049358306,25.27809071125899,,,69.19047619047616,1997.9094761904762,A,9,-2.887545424120319,25.293791860701475,-160.0
9,A- 10A,-2.792240184877404,25.213369406623592,H73,69.3333333333333,69.3333333333333,1998.0523333333333,A,10,-2.9474445306810853,25.22699206541607,-160.0
10,A- 11A,-3.0708742022300206,25.18951607836562,,,69.39999999999996,1998.119,A,11,-3.002751602950888,25.19223341605009,-160.0
11,A- 12A,-3.1451404217452392,25.17381476316106,,,69.46666666666664,1998.1856666666667,A,12,-3.186194222616596,25.20650751979468,-160.0
12,A- 13A,-3.3425680438745267,25.256191717857355,,,69.5333333333333,1998.2523333333334,A,13,-3.262278686995694,25.280513821261525,-160.0
13,A- 14A,-3.299127595367316,25.411534982766163,,,69.59999999999997,1998.319,A,14,-3.2171367197928133,25.316205379581827,-160.0
14,A- 15A,-3.0097145201365976,25.28088943812196,,,69.66666666666663,1998.3856666666666,A,15,-3.0352925777915285,25.29765925565764,-160.0
15,A- 16A,-2.797035617870672,25.200553346084796,,,69.7333333333333,1998.4523333333334,A,16,-2.874802347836086,25.181173770450883,-160.0
16,A- 17A,-2.817656905500988,25.062078527145893,,,69.79999999999997,1998.519,A,17,-2.8463012388435733,25.11264159572666,-160.0
17,A- 18A,-2.9242111931590604,25.0752929139493,,,69.86666666666663,1998.5856666666666,A,18,-2.9120979685951247,25.06572661887772,-160.0
18,A- 19A,-2.994425807125326,25.05980841553796,,,69.9333333333333,1998.6523333333334,A,19,-3.1496284087448845,25.10568505875331,-160.0
19,A- 20A,-3.5302482259502668,25.181953846772668,,,69.99999999999997,1998.719,A,20,-3.471445741614627,25.19106960052623,-160.0
20,A- 21A,-3.889663191768289,25.33144653926805,,,70.06666666666663,1998.7856666666667,A,21,-3.5174547024944847,25.370548818029736,-160.0
21,A- 22A,-3.1324526897648983,25.598246068048486,,,70.1333333333333,1998.8523333333333,A,22,-3.245279667284135,25.457083417074344,-160.0
22,A- 23A,-2.7137231203192185,25.4415576439065,,,70.19999999999996,1998.919,A,23,-2.72270566855097,25.451138691802697,-160.0
23,A- 24A,-2.321941195568794,25.313612363453107,,,70.26666666666664,1998.9856666666667,A,24,-2.514172289440604,25.342746042588814,-160.0
24,A- 25A,-2.5068525524337995,25.273068120406833,H78,70.3333333333333,70.3333333333333,1999.0523333333333,A,25,-2.4365745440830753,25.24797190811555,-160.0
25,A- 26A,-2.4809298842466316,25.15723524048671,,,70.47142857142855,1999.1904285714286,A,26,-2.629770775530764,25.22905961576917,-160.0
26,A- 27A,-2.901529889911861,25.256875486413968,,,70.60952380952378,1999.3285238095239,A,27,-2.669137749103484,25.134805476923077,-160.0
27,A- 28A,-2.624953473151958,24.99030570386855,,,70.74761904761903,1999.4666190476191,A,28,-2.913904406674174,25.147651208873175,-160.0
28,A- 29A,-3.2152298569587012,25.195772436337005,,,70.88571428571427,1999.6047142857144,A,29,-3.0498334383182013,25.21287510411794,-160.0
29,A- 30A,-3.309316984843946,25.452547172148265,,,71.02380952380952,1999.7428095238097,A,30,-3.117090586852466,25.40787048058898,-160.0
30,A- 31A,-2.82672491875475,25.575291833281675,,,71.16190476190475,1999.8809047619047,A,31,-3.0296681206679543,25.47624103729073,-160.0
31,A- 32A,-2.9529624584051666,25.400884106442252,,71.3,71.3,2000.019,A,32,,,-160.0
32,B- 29A,-2.460542853960791,25.728149661647997,,67.5,67.5,1996.219,B,29,,,-154.0
33,B- 28A,-2.6838394099894662,25.279931664856488,,,67.63888888888889,1996.357888888889,B,28,-2.787215727092029,25.51098974093225,-154.0
34,B- 27A,-3.2172649173258296,25.524887896292263,,,67.77777777777777,1996.4967777777779,B,27,-2.9244158664574553,25.27988889824131,-154.0
