,sample,age1,Unnamed: 2,age2,count,path,sample1,age_lin
0,O 1A,,,,0,O,1,
1,O 2A,,,,0,O,2,
2,O 3A,,,,0,O,3,
3,O 4A,,,,0,O,4,
4,O 5A,,,,0,O,5,
5,O 6A,,,,0,O,6,
6,O 7A,,,,0,O,7,
7,O 8A,,,,0,O,8,
8,O 9A,,,,0,O,9,
9,O 10A,1.0,,1.0,1,O,10,1.0
10,O 11A,,,,1,O,11,1.0
11,O 12A,,,,1,O,12,1.0
12,O 13A,,,,1,O,13,1.0
13,O 14A,,,,1,O,14,1.0
14,O 15A,,,,1,O,15,1.0
15,O 16A,,,,1,O,16,1.0
16,O 17A,,,,1,O,17,1.0
17,O 18A,,,,1,O,18,1.0
18,O 19A,,,,1,O,19,1.0
19,O 20A,1.0,,2.0,2,O,20,1.0
20,N 1A,,,,2,N,1,
21,N 2A,,,,2,N,2,
22,N 3A,,,,2,N,3,
23,N 4A,,,,2,N,4,
24,N 5A,,,,2,N,5,
25,N 6A,,,,2,N,6,
26,N 7A,,,,2,N,7,
27,N 8A,,,,2,N,8,
28,N 9A,,,,2,N,9,
29,N 10A,1.0,,3.0,3,N,10,1.0
30,N 11A,,,,3,N,11,1.0
31,N 12A,,,,3,N,12,1.0
32,N 13A,,,,3,N,13,1.0
33,N 14A,,,,3,N,14,1.0
34,N 15A,,,,3,N,15,1.0
35,N 16A,,,,3,N,16,1.0
36,N 17A,,,,3,N,17,1.0
37,N 18A,,,,3,N,18,1.0
38,N 19A,1.0,,4.0,4,N,19,1.0
39,N 20A,,,,4,N,20,1.0
40,N 21A,,,,4,N,21,1.0
41,N 22A,,,,4,N,22,1.0
42,N 23A,,,,4,N,23,1.0
43,N 24A,,,,4,N,24,1.0
44,N 25A,1.0,,5.0,5,N,25,1.0
45,N 26A,,,,5,N,26,1.0
46,N 27A,,,,5,N,27,1.0
47,N 28A,,,,5,N,28,1.0
48,N 29A,,,,5,N,29,1.0
49,N 30A,,,,5,N,30,1.0
50,N 31A,,,,5,N,31,1.0
51,N 32A,,,,5,N,32,1.0
52,N 33A,,,,5,N,33,1.0
53,N 34A,,,,5,N,34,1.0
54,N 35A,,,,5,N,35,1.0
55,N 36A,1.0,,6.0,6,N,36,1.0
56,N 37A,,,,6,N,37,1.0
57,N 38A,,,,6,N,38,1.0
58,N 39A,,,,6,N,39,1.0
59,N 40A,,,,6,N,40,1.0
60,N 41A,,,,6,N,41,1.0
61,N 42A,,,,6,N,42,1.0
62,N 43A,,,,6,N,43,1.0
63,N 44A,,,,6,N,44,1.0
64,N 45A,,,,6,N,45,1.0
65,N 46A,1.0,,7.0,7,N,46,1.0
