,sample,age1,path,sample1,age_lin
0,O 1A,0.05,O,1,0.6333333333333334
1,O 2A,,O,2,0.7388888888888889
2,O 3A,,O,3,0.8444444444444446
3,O 4A,,O,4,0.9500000000000002
4,O 5A,,O,5,1.0555555555555558
5,O 6A,,O,6,1.1611111111111114
6,O 7A,,O,7,1.2666666666666668
7,O 8A,,O,8,1.3722222222222222
8,O 9A,,O,9,1.4777777777777779
9,O 10A,1.0,O,10,1.5833333333333335
10,O 11A,,O,11,1.6833333333333336
11,O 12A,,O,12,1.7833333333333334
12,O 13A,,O,13,1.8833333333333335
13,O 14A,,O,14,1.9833333333333334
14,O 15A,,O,15,2.0833333333333335
15,O 16A,,O,16,2.1833333333333336
16,O 17A,,O,17,2.2833333333333337
17,O 18A,,O,18,2.3833333333333337
18,O 19A,,O,19,2.4833333333333334
19,O 20A,2.0,O,20,2.5833333333333335
20,N 1A,2.05,N,1,2.6333333333333333
21,N 2A,,N,2,2.738888888888889
22,N 3A,,N,3,2.8444444444444446
23,N 4A,,N,4,2.95
24,N 5A,,N,5,3.0555555555555554
25,N 6A,,N,6,3.1611111111111114
26,N 7A,,N,7,3.2666666666666666
27,N 8A,,N,8,3.3722222222222222
28,N 9A,,N,9,3.477777777777778
29,N 10A,3.0,N,10,3.5833333333333335
30,N 11A,,N,11,3.6944444444444446
31,N 12A,,N,12,3.805555555555556
32,N 13A,,N,13,3.9166666666666665
33,N 14A,,N,14,4.027777777777778
34,N 15A,,N,15,4.138888888888889
35,N 16A,,N,16,4.25
36,N 17A,,N,17,4.361111111111111
37,N 18A,,N,18,4.472222222222222
38,N 19A,4.0,N,19,4.583333333333333
39,N 20A,,N,20,4.75
40,N 21A,,N,21,4.916666666666666
41,N 22A,,N,22,5.083333333333333
42,N 23A,,N,23,5.25
43,N 24A,,N,24,5.416666666666666
44,N 25A,5.0,N,25,5.583333333333333
45,N 26A,,N,26,5.674242424242424
46,N 27A,,N,27,5.765151515151515
47,N 28A,,N,28,5.8560606060606055
48,N 29A,,N,29,5.946969696969696
49,N 30A,,N,30,6.037878787878787
50,N 31A,,N,31,6.128787878787879
51,N 32A,,N,32,6.21969696969697
52,N 33A,,N,33,6.3106060606060606
53,N 34A,,N,34,6.401515151515151
54,N 35A,,N,35,6.492424242424242
55,N 36A,6.0,N,36,6.583333333333333
56,N 37A,,N,37,6.683333333333333
57,N 38A,,N,38,6.783333333333333
58,N 39A,,N,39,6.883333333333333
59,N 40A,,N,40,6.983333333333333
60,N 41A,,N,41,7.083333333333333
61,N 42A,,N,42,7.183333333333334
62,N 43A,,N,43,7.283333333333333
63,N 44A,,N,44,7.383333333333333
64,N 45A,,N,45,7.483333333333333
65,N 46A,7.0,N,46,7.583333333333333
66,N 47A,,N,47,7.708333333333333
67,N 48A,,N,48,7.833333333333333
68,N 49A,,N,49,7.958333333333333
69,N 50A,,N,50,8.083333333333334
70,N 51A,,N,51,8.208333333333334
71,N 52A,,N,52,8.333333333333334
72,N 53A,,N,53,8.458333333333334
73,N 54A,8.0,N,54,8.583333333333334
74,N 55A,,N,55,8.71904761904762
75,N 56A,,N,56,8.854761904761904
76,N 57A,,N,57,8.99047619047619
77,N 58A,,N,58,9.126190476190477
78,N 59A,,N,59,9.261904761904763
79,N 60A,,N,60,9.397619047619047
80,N 61A,8.95,N,61,9.533333333333333
81,M 1A,7.9,M,1,8.483333333333334
82,M 2A,,M,2,8.533333333333335
83,M 3A,8.0,M,3,8.583333333333334
84,M 4A,,M,4,8.75
85,M 5A,,M,5,8.916666666666668
86,M 6A,,M,6,9.083333333333334
87,M 7A,,M,7,9.25
88,M 8A,,M,8,9.416666666666668
89,M 9A,9.0,M,9,9.583333333333334
90,M 10A,,M,10,9.75
91,M 11A,,M,11,9.916666666666668
92,M 12A,,M,12,10.083333333333334
93,M 13A,,M,13,10.25
94,M 14A,,M,14,10.416666666666668
95,M 15A,10.0,M,15,10.583333333333334
96,M 16A,,M,16,10.833333333333334
97,M 17A,,M,17,11.083333333333334
98,M 18A,,M,18,11.333333333333334
