sample,age1
O 1A,0.05
O 2A,
O 3A,
O 4A,
O 5A,
O 6A,
O 7A,
O 8A,
O 9A,
O 10A,1
O 11A,
O 12A,
O 13A,
O 14A,
O 15A,
O 16A,
O 17A,
O 18A,
O 19A,
O 20A,2
N 1A,2.05
N 2A,
N 3A,
N 4A,
N 5A,
N 6A,
N 7A,
N 8A,
N 9A,
N 10A,3
N 11A,
N 12A,
N 13A,
N 14A,
N 15A,
N 16A,
N 17A,
N 18A,
N 19A,4
N 20A,
N 21A,
N 22A,
N 23A,
N 24A,
N 25A,5
N 26A,
N 27A,
N 28A,
N 29A,
N 30A,
N 31A,
N 32A,
N 33A,
N 34A,
N 35A,
N 36A,6
N 37A,
N 38A,
N 39A,
N 40A,
N 41A,
N 42A,
N 43A,
N 44A,
N 45A,
N 46A,7
N 47A,
N 48A,
N 49A,
N 50A,
N 51A,
N 52A,
N 53A,
N 54A,8
N 55A,
N 56A,
N 57A,
N 58A,
N 59A,
N 60A,
N 61A,8.95
M 1A,7.9
M 2A,
M 3A,8
M 4A,
M 5A,
M 6A,
M 7A,
M 8A,
M 9A,9
M 10A,
M 11A,
M 12A,
M 13A,
M 14A,
M 15A,10
M 16A,
M 17A,
M 18A,
M 19A,11
M 20A,
M 21A,
M 22A,
M 23A,
M 24A,
M 25A,
M 26A,12
M 27A,
M 28A,
M 29A,
M 30A,
M 31A,
M 32A,13
M 33A,
M 34A,
M 35A,
M 36A,13.9
M 37A,14.2
M 38A,
M 39A,
M 40A,
M 41A,15
M 42A,
M 43A,
M 44A,
M 45A,
M 46A,16
M 47A,
M 48A,
M 49A,
M 50A,
M 51A,17
M 52A,
M 53A,
M 54A,
M 55A,
M 56A,
M 57A,
M 58A,
M 59A,18
M 60A,
M 61A,
M 62A,
M 63A,19
M 64A,
M 65A,
M 66A,
M 67A,
M 68A,
M 69A,20
M 70A,
M 71A,
M 72A,
M 73A,
M 74A,
M 75A,
M 76A,
M 77A,21
M 78A,
M 79A,
M 80A,
M 81A,
M 82A,
M 83A,
M 84A,
M 85A,
M 86A,22
M 87A,
M 88A,
M 89A,
M 90A,
M 91A,
M 92A,23
M 93A,
M 94A,
M 95A,
M 96A,
M 97A,
M 98A,
M 99A,
M 100A,
M 101A,
M 102A,24
M 103A,
M 104A,
M 105A,
M 106A,
M 107A,
M 108A,
M 109A,25
M 110A,25.05
L 1A,25.45
L 2A,
L 3A,
L 4A,
L 5A,
L 6A,
L 7A,26
L 8A,
L 9A,
L 10A,
L 11A,
L 12A,
L 13A,
L 14A,
L 15A,27
L 16A,
L 17A,
L 18A,
L 19A,28
L 20A,
L 21A,
L 22A,
L 23A,
L 24A,
L 25A,
L 26A,29
L 27A,
L 28A,
L 29A,
L 30A,
L 31A,30
L 32A,
L 33A,
L 34A,
L 35A,
L 36A,
L 37A,
L 38A,31
L 39A,
L 40A,
L 41A,
L 42A,
L 43A,
L 44A,32
L 45A,32.1
K 1A,32.75
K 2A,
