,sample,age1,age_end,age2,count
0,O 1A,,,0.05,0
1,O 2A,,,,0
2,O 3A,,,,0
3,O 4A,,,,0
4,O 5A,,,,0
5,O 6A,,,,0
6,O 7A,,,,0
7,O 8A,,,,0
8,O 9A,,,,0
9,O 10A,1,,1,1
10,O 11A,,,,1
11,O 12A,,,,1
12,O 13A,,,,1
13,O 14A,,,,1
14,O 15A,,,,1
15,O 16A,,,,1
16,O 17A,,,,1
17,O 18A,,1,,1
18,O 19A,,,,1
19,O 20A,1,,2,2
20,N 1A,,,2.05,2
21,N 2A,,,,2
22,N 3A,,,,2
23,N 4A,,,,2
24,N 5A,,,,2
25,N 6A,,,,2
26,N 7A,,2,,2
27,N 8A,,,,2
28,N 9A,,,,2
29,N 10A,1,,3,3
30,N 11A,,,,3
31,N 12A,,,,3
32,N 13A,,,,3
33,N 14A,,,,3
34,N 15A,,,,3
35,N 16A,,3,,3
36,N 17A,,,,3
37,N 18A,,,,3
38,N 19A,1,,4,4
39,N 20A,,,,4
40,N 21A,,,,4
41,N 22A,,,,4
42,N 23A,,4,,4
43,N 24A,,,,4
44,N 25A,1,,5,5
45,N 26A,,,,5
46,N 27A,,,,5
47,N 28A,,,,5
48,N 29A,,,,5
49,N 30A,,,,5
50,N 31A,,,,5
51,N 32A,,,,5
52,N 33A,,5,,5
53,N 34A,,,,5
54,N 35A,,,,5
55,N 36A,1,,6,6
56,N 37A,,,,6
57,N 38A,,,,6
58,N 39A,,,,6
59,N 40A,,,,6
60,N 41A,,6,,6
61,N 42A,,,,6
62,N 43A,,,,6
63,N 44A,,,,6
64,N 45A,,,,6
65,N 46A,1,,7,7
66,N 47A,,,,7
67,N 48A,,,,7
68,N 49A,,,,7
69,N 50A,,,,7
70,N 51A,,,,7
71,N 52A,,7,,7
72,N 53A,,,,7
73,N 54A,1,,8,8
74,N 55A,,,,8
75,N 56A,,,,8
76,N 57A,,,,8
77,N 58A,,,,8
78,N 59A,,8,,8
79,N 60A,,,,8
80,N 61A,,,8.95,8
81,M 1A,,,7.9,8
82,M 2A,,,,8
83,M 3A,0,,8,8
84,M 4A,,,,8
85,M 5A,,,,8
86,M 6A,,8,,8
87,M 7A,,,,8
88,M 8A,,,,8
89,M 9A,1,,9,9
90,M 10A,,,,9
91,M 11A,,9,,9
92,M 12A,,,,9
93,M 13A,,,,9
94,M 14A,,,,9
95,M 15A,1,,10,10
96,M 16A,,10,,10
97,M 17A,,,,10
98,M 18A,,,,10
99,M 19A,1,,11,11
100,M 20A,,,,11
101,M 21A,,,,11
102,M 22A,,11,,11
103,M 23A,,,,11
104,M 24A,,,,11
105,M 25A,,,,11
106,M 26A,1,,12,12
107,M 27A,,,,12
108,M 28A,,,,12
109,M 29A,,,,12
110,M 30A,,12,,12
111,M 31A,,,,12
112,M 32A,1,,13,13
113,M 33A,,,,13
114,M 34A,,13,,13
115,M 35A,,,,13
116,M 36A,,,13.9,13
117,M 37A,1,,14.2,14
118,M 38A,,,,14
119,M 39A,,,,14
120,M 40A,,,,14
121,M 41A,1,,15,15
122,M 42A,,,,15
123,M 43A,,,,15
124,M 44A,,,,15
125,M 45A,,15,,15
126,M 46A,1,,16,16
127,M 47A,,,,16
128,M 48A,,,,16
129,M 49A,,16,,16
130,M 50A,,,,16
131,M 51A,1,,17,17
132,M 52A,,,,17
133,M 53A,,,,17
134,M 54A,,,,17
135,M 55A,,,,17
136,M 56A,,17,,17
137,M 57A,,,,17
138,M 58A,,,,17
139,M 59A,1,,18,18
140,M 60A,,,,18
141,M 61A,,18,,18
142,M 62A,,,,18
143,M 63A,1,,19,19
144,M 64A,,,,19
145,M 65A,,,,19
146,M 66A,,,,19
147,M 67A,,19,,19
148,M 68A,,,,19
149,M 69A,1,,20,20
150,M 70A,,,,20
151,M 71A,,,,20
152,M 72A,,,,20
153,M 73A,,20,,20
154,M 74A,,,,20
155,M 75A,,,,20
156,M 76A,,,,20
157,M 77A,1,,21,21
158,M 78A,,,,21
159,M 79A,,,,21
160,M 80A,,,,21
161,M 81A,,,,21
162,M 82A,,,,21
163,M 83A,,,,21
164,M 84A,,21,,21
165,M 85A,,,,21
166,M 86A,1,,22,22
167,M 87A,,,,22
168,M 88A,,,,22
169,M 89A,,,,22
170,M 90A,,22,,22
171,M 91A,,,,22
172,M 92A,1,,23,23
173,M 93A,,,,23
174,M 94A,,,,23
175,M 95A,,,,23
176,M 96A,,,,23
177,M 97A,,,,23
178,M 98A,,,,23
179,M 99A,,23,,23
180,M 100A,,,,23
181,M 101A,,,,23
182,M 102A,1,,24,24
183,M 103A,,,,24
184,M 104A,,,,24
185,M 105A,,,,24
186,M 106A,,,,24
187,M 107A,,24,,24
188,M 108A,,,,24
189,M 109A,1,,25,25
190,M 110A,,,25.05,25
191,L 1A,,,25.45,25
192,L 2A,,,,25
193,L 3A,,,,25
194,L 4A,,,,25
195,L 5A,,,,25
196,L 6A,,,,25
197,L 7A,1,,26,26
198,L 8A,,,,26
199,L 9A,,,,26
200,L 10A,,,,26
201,L 11A,,26,,26
202,L 12A,,,,26
203,L 13A,,,,26
204,L 14A,,,,26
205,L 15A,1,,27,27
206,L 16A,,,,27
207,L 17A,,27,,27
208,L 18A,,,,27
209,L 19A,1,,28,28
210,L 20A,,,,28
211,L 21A,,,,28
212,L 22A,,,,28
213,L 23A,,28,,28
214,L 24A,,,,28
215,L 25A,,,,28
216,L 26A,1,,29,29
217,L 27A,,,,29
218,L 28A,,,,29
219,L 29A,,29,,29
220,L 30A,,,,29
221,L 31A,1,,30,30
222,L 32A,,,,30
223,L 33A,,,,30
224,L 34A,,,,30
225,L 35A,,30,,30
226,L 36A,,,,30
227,L 37A,,,,30
228,L 38A,1,,31,31
229,L 39A,,,,31
230,L 40A,,,,31
231,L 41A,,,,31
232,L 42A,,31,,31
233,L 43A,,,,31
234,L 44A,1,,32,32
235,L 45A,,,32.1,32
236,K 1A,,,32.75,32
237,K 2A,,,,32
238,K 3A,1,,33,33
239,K 4A,,,,33
240,K 5A,,,,33
241,K 6A,,,,33
242,K 7A,,,,33
243,K 8A,,,,33
244,K 9A,,33,,33
245,K 10A,,,,33
246,K 11A,1,,34,34
247,K 12A,,,,34
248,K 13A,,,,34
249,K 14A,,,,34
250,K 15A,,,,34
251,K 16A,,34,,34
252,K 17A,,,,34
253,K 18A,,,,34
254,K 19A,1,,35,35
255,K 20A,,,,35
256,K 21A,,35,,35
257,K 22A,,,,35
258,K 23A,,,,35
259,K 24A,1,,36,36
260,K 25A,,36,,36
261,K 26A,,,,36
262,K 27A,,,,36
263,K 28A,1,,37,37
264,K 29A,,,,37
265,K 30A,,,,37
266,K 31A,,37,,37
267,K 32A,1,,38,38
268,K 33A,,,,38
269,K 34A,,38,,38
270,K 35A,,,,38
271,K 36A,1,,39,39
272,K 37A,,,,39
273,K 38A,,,,39
274,K 39A,,,,39
275,K 40A,,39,,39
276,K 41A,,,,39
277,K 42A,,,,39
278,K 43A,1,,40,40
279,K 44A,,,,40
280,K 45A,,,,40
281,K 46A,,40,,40
282,K 47A,,,,40
283,K 48A,,,,40
284,K 49A,1,,41,41
285,K 50A,,,,41
286,K 51A,,,,41
287,K 52A,,41,,41
288,K 53A,,,,41
289,K 54A,,,,41
290,K 55A,,,,41
291,K 56A,1,,42,42
292,K 57A,,,,42
293,K 58A,,,,42
294,K 59A,,42,,42
295,K 60A,,,,42
296,K 61A,,,,42
297,K 62A,,,,42
298,K 63A,1,,43,43
299,K 64A,,,,43
300,K 65A,,,,43
301,K 66A,,43,,43
302,K 67A,,,,43
303,K 68A,,,,43
304,K 69A,,,,43
305,K 70A,1,,44,44
306,K 71A,,,,44
307,K 72A,,,,44
308,K 73A,,,,44
309,K 74A,,,44.8,44
310,J 1A,,,45.3,44
311,J 2A,,,,44
312,J 3A,,,,44
313,J 4A,,,,44
314,J 5A,,,,44
315,J 6A,2,,46,46
316,J 7A,,,,46
317,J 8A,,,,46
318,J 9A,,,,46
319,J 10A,,46,,46
320,J 11A,,,,46
321,J 12A,,,,46
322,J 13A,,,,46
323,J 14A,,,,46
324,J 15A,,,,46
325,J 16A,1,,47,47
326,J 17A,,,,47
327,J 18A,,,,47
328,J 19A,,,,47
329,J 20A,,,,47
330,J 21A,,,,47
331,J 23A,,,,47
332,J 24A,,,,47
333,J 25A,,,,47
334,J 26A,,,,47
335,J 27A,,,,47
336,J 28A,1,,48,48
337,J 29A,,,,48
338,J 30A,,,48.3,48
339,I 1A,,,46.9,48
340,I 2A,-1,,47,47
341,I 3A,,,,47
342,I 4A,,,,47
343,I 5A,,47,,47
344,I 6A,,,,47
345,I 7A,,,,47
346,I 8A,1,,48,48
347,I 9A,,,,48
348,I 10A,,48,,48
349,I 11A,,,,48
350,I 12A,,,,48
351,I 13A,,,,48
352,I 14A,,,,48
353,I 15A,,,,48
354,I 16A,,,,48
355,I 17A,1,,49,49
356,I 18A,,,,49
357,I 19A,,,,49
358,I 20A,,,,49
359,I 21A,,,,49
360,I 22A,,49,,49
361,I 23A,,,,49
362,I 24A,,,,49
363,I 25A,,,,49
364,I 26A,,,,49
365,I 27A,,,,49
366,I 28A,1,,50,50
367,I 29A,,,,50
368,I 30A,,,,50
369,I 31A,,50,,50
370,I 32A,,,,50
371,I 33A,,,,50
372,I 34A,1,,51,51
373,I 35A,,,,51
374,I 36A,,,,51
375,I 37A,,,,51
376,I 38A,,,,51
377,I 39A,,51,,51
378,I 40A,,,,51
379,I 41A,1,,52,52
380,I 42A,,,,52
381,I 43A,,,,52
382,I 44A,,,,52
383,I 45A,,52,,52
384,I 46A,,,,52
385,I 47A,,,,52
386,I 48A,,,,52
387,I 49A,1,,53,53
388,I 50A,,,,53
389,I 51A,,,,53
390,I 52A,,,,53
391,I 53A,,,,53
392,I 54A,,53,,53
393,I 55A,,,,53
394,I 56A,,,,53
395,I 57A,1,,54,54
396,I 58A,,,,54
397,I 59A,,,,54
398,I 60A,,,,54
399,I 61A,,,,54
400,I 62A,,54,,54
401,I 63A,,,,54
402,I 64A,1,,55,55
403,I 65A,,,,55
404,I 66A,,,,55
405,I 67A,,55,,55
406,I 68A,,,,55
407,I 69A,,,,55
408,I 70A,,,,55
409,I 71A,,,,55
410,I 72A,,,,55
411,I 73A,1,,56,56
412,I 74A,,,,56
413,I 75A,,,,56
414,I 76A,,,,56
415,I 77A,,,,56
416,I 78A,,,,56
417,I 79A,,,,56
418,I 80A,1,,57,57
419,I 81A,,,,57
420,I 82A,,,,57
421,I 83A,,,,57
422,I 84A,,,,57
423,I 85A,,,,57
424,I 86A,,,,57
425,I 87A,1,,58,58
426,I 88A,,,,58
427,I 89A,,,,58
428,I 90A,,,,58
429,I 91A,1,,59,59
430,I 92A,,,,59
431,I 93A,,,,59
432,I 94A,,,,59
433,I 95A,,,,59
434,I 96A,,,,59
435,I 97A,,,,59
436,I 98A,,,,59
437,I 99A,1,,60,60
438,I 100A,,,,60
439,I 101A,,,,60
440,I 102A,,,,60
441,I 103A,,,,60
442,I 104A,,,,60
443,I 105A,,,,60
444,I 106A,,,,60
445,I 107A,,,,60
446,I 108A,1,,61,61
447,I 109A,,,,61
448,I 110A,,,,61
449,I 111A,1,,62,62
450,I 112A,,,,62
451,I 113A,1,,63,63
452,I 114A,,,,63
453,I 115A,,,,63
454,I 116A,,,,63
455,I 117A,,,,63
456,I 118A,1,,64,64
457,I 119A,,,,64
458,I 120A,,,,64
459,I 121A,,,,64
460,I 122A,,,64.7,64
461,H 1A,,,62.7,64
462,H 2A,,,,64
463,H 3A,,,,64
464,H 4A,,,,64
465,H 5A,-1,,63,63
466,H 6A,,,,63
467,H 7A,,,,63
468,H 8A,,,,63
469,H 9A,,,,63
470,H 10A,,63,,63
471,H 11A,1,,64,64
472,H 12A,,,,64
473,H 13A,,,,64
474,H 14A,,64,,64
475,H 15A,,,,64
476,H 16A,,,,64
477,H 17A,1,,65,65
