CCAR's Altimetry Explorer
https://ccar.colorado.edu/altimetry/
ALTIMETRY INFORMATION
lat,-9.416667
lon,159.916667
Source,JPL SSHA Grids v1812

TIDEGAUGE INFORMATION
lat,-9.425000190734863
lon,159.95700073242188
code,9
location,Honiara
Source,UHSLC FD + RQ data


Altimetry,,,Tide Gauge
time,sla (cm),,time,sla (cm)
1992.7522245037646,-16.998750964817145,,1994.5728952772074,-9.897018221976971
1992.7659137577002,-18.1976473728982,,1994.586584531143,-13.197018221976975
1992.7796030116358,-18.445038119968512,,1994.6002737850788,-11.697018221976975
1992.7932922655716,-17.668203632053473,,1994.6139630390144,-10.997018221976973
1992.8069815195072,-17.48447827499781,,1994.62765229295,-10.497018221976973
1992.8206707734428,-17.75957135361109,,1994.6413415468858,-12.79701822197697
1992.8343600273786,-18.017725269016363,,1994.6550308008214,-13.197018221976975
1992.8480492813142,-17.35397938888941,,1994.668720054757,-17.29701822197697
1992.8617385352497,-15.199738780674076,,1994.6824093086927,-17.89701822197697
1992.8754277891856,-12.626028339084721,,1994.6960985626283,-17.89701822197697
1992.8891170431211,-10.637718478855229,,1994.709787816564,-19.597018221976974
1992.9028062970567,-10.054510394748783,,1994.7234770704997,-23.39701822197697
1992.9164955509925,-11.594590465244389,,1994.7371663244353,-23.997018221976973
1992.930184804928,-11.186374942478276,,1994.7645448323067,-15.097018221976974
1992.9438740588637,-12.812856952365971,,1994.7782340862423,-15.997018221976973
1992.9575633127995,-12.891097346958256,,1994.791923340178,-15.397018221976971
1992.971252566735,-13.052686969455815,,1994.8056125941137,-15.197018221976975
1992.9849418206709,-12.12090424698267,,1994.8193018480492,-13.79701822197697
1992.9986310746065,-11.349036494907475,,1994.832991101985,-12.397018221976971
1993.012320328542,-10.871093074497319,,1994.8466803559206,-13.29701822197697
1993.0260095824779,-13.530108730014897,,1994.8603696098562,-9.997018221976973
1993.0396988364134,-15.884577075656987,,1994.874058863792,-13.397018221976971
1993.053388090349,-18.16402463119898,,1994.8877481177276,-16.89701822197697
1993.0670773442848,-20.012411395725348,,1994.9014373716632,-13.197018221976975
1993.0807665982204,-21.119636813816168,,1994.915126625599,-10.197018221976975
1993.094455852156,-22.868438998874762,,1994.9288158795346,-11.197018221976975
1993.1081451060918,-24.804529468235113,,1994.9425051334701,-8.497018221976973
1993.1218343600274,-24.408798495945074,,1994.956194387406,-13.197018221976975
1993.135523613963,-22.700819293674567,,1994.9698836413415,-17.39701822197697
1993.1492128678988,-19.539325992282965,,1994.9835728952771,-16.39701822197697
1993.1629021218343,-16.851339618381598,,1994.997262149213,-16.197018221976975
