Date,Sea Level
1968.5,7416
1968.58333,7475
1968.66666,
1968.74999,
1968.83332,
1968.91665,
1968.99998,
1969.08331,
1969.16664,
1969.24997,
1969.3333,7372
1969.41663,7333
1969.49996,7271
1969.58329,7253
1969.66662,7235
1969.74995,7276
1969.83328,7268
1969.91661,7202
1969.99994,7271
1970.08327,7340
1970.1666,7370
1970.24993,7383
1970.33326,7333
1970.41659,7315
1970.49992,7348
1970.58325,7332
1970.66658,7359
1970.74991,7364
1970.83324,7387
1970.91657,7401
1970.9999,7464
1971.08323,
1971.16656,7497
1971.24989,7430
1971.33322,7395
1971.41655,7402
1971.49988,7363
1971.58321,7377
1971.66654,7407
1971.74987,7403
1971.8332,7363
1971.91653,7296
1971.99986,7350
1972.08319,7377
1972.16652,7378
1972.24985,7318
1972.33318,7215
1972.41651,
1972.49984,7200
1972.58317,7161
1972.6665,7164
1972.74983,7176
1972.83316,7072
1972.91649,7045
1972.99982,7051
1973.08315,7203
1973.16648,7378
1973.24981,7311
1973.33314,7303
1973.41647,7298
1973.4998,7317
1973.58313,
1973.66646,7322
1973.74979,7314
1973.83312,7323
1973.91645,
1973.99978,
1974.08311,
1974.16644,7416
1974.24977,7356
1974.3331,
1974.41643,
1974.49976,
1974.58309,7344
1974.66642,7358
1974.74975,7402
1974.83308,
1974.91641,7370
1974.99974,7333
1975.08307,7339
1975.1664,7418
1975.24973,7429.5
1975.33306,7396
1975.41639,7389
1975.49972,7371
1975.58305,7372
1975.66638,7404.5
1975.74971,7448
1975.83304,7463
1975.91637,7453.5
1975.9997,7458
1976.08303,7420.5
1976.16636,7410.5
1976.24969,7383.5
1976.33302,7375.5
1976.41635,7320
1976.49968,7277.5
1976.58301,7240
1976.66634,7274.5
1976.74967,7339
1976.833,7367.5
1976.91633,7329.5
1976.99966,7271.5
1977.08299,7345
1977.16632,7391
1977.24965,7375
1977.33298,7351
1977.41631,7283.5
1977.49964,7223
1977.58297,7209
1977.6663,7179.5
1977.74963,7189
1977.83296,7201
1977.91629,7175
1978.0416,7155
1978.125,7143
1978.2084,7192
1978.2916,7282
1978.375,7349
1978.4584,7325
1978.5416,7305
1978.625,7271
1978.7084,7268
1978.7916,7275
1978.875,7279
1978.9584,7281
1979.0416,7220
1979.125,7242
1979.2084,7337
1979.2916,7329
1979.375,7330
1979.4584,
1979.5416,
1979.625,
1979.7084,
1979.7916,7248
1979.875,7244
1979.9584,7223
1980.0416,7255
1980.125,7283
1980.2084,7341
1980.2916,7228
1980.375,7216
1980.4584,7228
1980.5416,7180
1980.625,7208
1980.7084,7204
1980.7916,7267
1980.875,7293
1980.9584,7266
1981.0416,7324
1981.125,7340
1981.2084,7292
1981.2916,7321
1981.375,7274
1981.4584,7286
1981.5416,7259
1981.625,7242
1981.7084,7266
1981.7916,7286
1981.875,7342
1981.9584,7318
1982.0416,7325
1982.125,7405
1982.2084,7403
1982.2916,7390
1982.375,7340
1982.4584,7314
1982.5416,7204
1982.625,7183
1982.7084,7160
1982.7916,7148
1982.875,7149
1982.9584,7141
1983.0416,7120
1983.125,7075
1983.2084,7055
1983.2916,7057
1983.375,7006
1983.4584,6942
1983.5416,6901
1983.625,6944
1983.7084,7047
1983.7916,7119
1983.875,7158
1983.9584,7234
1984.0416,7344
1984.125,7459
1984.2084,7468
1984.2916,7408
1984.375,7367
1984.4584,7257
1984.5416,7160
1984.625,7187
1984.7084,7185
1984.7916,7180
1984.875,7199
1984.9584,7322
1985.0416,7302
1985.125,7386
1985.2084,7302
