,sample,age1,path,sample1,age_lin
0,O 1A,,O,1,
1,O 2A,,O,2,
2,O 3A,,O,3,
3,O 4A,,O,4,
4,O 5A,,O,5,
5,O 6A,,O,6,
6,O 7A,,O,7,
7,O 8A,,O,8,
8,O 9A,,O,9,
9,O 10A,1.0,O,10,1.0
10,O 11A,,O,11,1.1111111111111112
11,O 12A,,O,12,1.2222222222222223
12,O 13A,,O,13,1.3333333333333333
13,O 14A,,O,14,1.4444444444444444
14,O 15A,,O,15,1.5555555555555556
15,O 16A,,O,16,1.6666666666666665
16,O 17A,,O,17,1.7777777777777777
17,O 18A,,O,18,1.8888888888888888
18,O 19A,2.0,O,19,2.0
19,O 20A,,O,20,
20,N 1A,,N,1,
21,N 2A,,N,2,
22,N 3A,,N,3,
23,N 4A,,N,4,
24,N 5A,,N,5,
25,N 6A,,N,6,
26,N 7A,,N,7,
27,N 8A,,N,8,
28,N 9A,3.0,N,9,3.0
29,N 10A,,N,10,3.142857142857143
30,N 11A,,N,11,3.2857142857142856
31,N 12A,,N,12,3.4285714285714284
32,N 13A,,N,13,3.571428571428571
33,N 14A,,N,14,3.7142857142857144
34,N 15A,,N,15,3.857142857142857
35,N 16A,4.0,N,16,4.0
36,N 17A,4.0,N,17,4.0
37,N 18A,4.0,N,18,4.0
38,N 19A,,N,19,4.166666666666667
39,N 20A,,N,20,4.333333333333333
40,N 21A,,N,21,4.5
41,N 22A,,N,22,4.666666666666667
42,N 23A,,N,23,4.833333333333333
43,N 24A,5.0,N,24,5.0
44,N 25A,,N,25,5.083333333333333
45,N 26A,,N,26,5.166666666666667
46,N 27A,,N,27,5.25
47,N 28A,,N,28,5.333333333333333
48,N 29A,,N,29,5.416666666666667
49,N 30A,,N,30,5.5
50,N 31A,,N,31,5.583333333333333
51,N 32A,,N,32,5.666666666666667
52,N 33A,,N,33,5.75
53,N 34A,,N,34,5.833333333333333
54,N 35A,,N,35,5.916666666666667
55,N 36A,6.0,N,36,6.0
56,N 37A,,N,37,6.111111111111111
57,N 38A,,N,38,6.222222222222222
58,N 39A,,N,39,6.333333333333333
59,N 40A,,N,40,6.444444444444445
