2008,-39.52095808,-124,,87.59
2007,-10.77844311,-44.47807573,-14.56,7.59
2006,-12.38802395,-45.65143627,-15.74,12.07
2005,-13.76407186,-46.4668224,-16.56,15.9
2004,-14.8742515,-48.0777072,-18.18,18.99
2003,-15.76167665,-49.3604488,-19.47,21.46
2002,-16.50179641,-50.18577867,-20.3,23.52
2001,-17.70538922,-50.89178373,-21.01,26.87
2000,-18.63592814,-52.0452568,-22.17,29.46
1999,-19.7748503,-53.69591653,-23.83,32.63
1998,-21.21916168,-55.0880392,-25.23,36.65
1997,-22.91856287,-56.02275013,-26.17,41.38
1996,-24.51377246,-57.07678587,-27.23,45.82
1995,-25.11377246,-58.32969627,-28.49,47.49
1994,-25.75688623,-59.76159387,-29.93,49.28
1993,-26.9497006,-60.19911813,-30.37,52.6
1992,-27.65389222,-61.5614096,-31.74,54.56
1991,-28.19640719,-62.28730213,-32.47,56.07
1990,-28.75329341,-62.41657067,-32.6,57.62
1989,-26.81317365,-60.67641733,-30.85,52.22
1988,-26.19520958,-58.92632027,-29.09,50.5
1987,-26.0011976,-59.76159387,-29.93,49.96
1986,-25.69221557,-60.76591093,-30.94,49.1
1985,-27.15449102,-61.8000592,-31.98,53.17
1984,-29.01556886,-63.7390872,-33.93,58.35
1983,-30.47065868,-64.25616133,-34.45,62.4
1982,-31.80718563,-67.04040667,-37.25,66.12
1981,-33.5245509,-63.5004376,-33.69,70.9
1980,-33.83353293,-63.09274453,-33.28,71.76
1979,-34.41916168,-62.95353227,-33.14,73.39
1978,-35.49700599,-62.91375733,-33.1,76.39
1977,-36.75449102,-62.47623307,-32.66,79.89
1976,-37.32934132,-61.8000592,-31.98,81.49
1975,-37.29700599,-60.59686747,-30.77,81.4
1974,-29.41796407,-59.234576,-29.4,59.47
1973,-30.84790419,-51.31936427,-21.44,63.45
1972,-32.35688623,-47.61035173,-17.71,67.65
1971,-33.48143713,-49.29084267,-19.4,70.78
1970,-34.68502994,-49.9272416,-20.04,74.13
1969,-33.48143713,-50.36476587,-20.48,70.78
1968,-35.49700599,-52.48278107,-22.61,76.39
1967,-37.72095808,-53.72574773,-23.86,82.58
1966,-38.8239521,-56.6094304,-26.76,85.65
1965,-40.09580838,-55.34657627,-25.49,89.19
1964,-41.89221557,-55.73438187,-25.88,94.19
1963,-43.51616766,-55.34657627,-25.49,98.71
1962,-42.43832335,-54.17321573,-24.31,95.71
1961,-43.42994012,-52.48278107,-22.61,98.47
1960,-44.68023952,-51.8961008,-22.02,101.95
1959,-45.66107784,-51.19009573,-21.31,104.68
1958,-45.88383234,-50.26532853,-20.38,105.3
1957,-33.95928144,-49.90735413,-20.02,72.11
1956,-34.08143713,-49.69853573,-19.81,72.45
1955,-33.91257485,-41.6938304,-11.76,71.98
1954,-31.90778443,-42.42966667,-12.5,66.4
1953,-27.89461078,-42.09157973,-12.16,55.23
1952,-25.53413174,-42.42966667,-12.5,48.66
1951,-26.60479042,-43.1853904,-13.26,51.64
1950,-27.51736527,-44.47807573,-14.56,54.18
1949,-29.17724551,-45.20396827,-15.29,58.8
1948,-30.58562874,-46.39721627,-16.49,62.72
1947,-32.29221557,-47.96832613,-18.07,67.47
1946,-32.65149701,-49.4201112,-19.53,68.47
1945,-34.20359281,-50.732684,-20.85,72.79
1944,-35.54371257,-52.42311867,-22.55,76.52
1943,-36.56766467,-53.40754827,-23.54,79.37
1942,-37.48023952,-54.54113387,-24.68,81.91
1941,-38.38562874,-52.42311867,-22.55,84.43
1940,-40.86826347,-53.5368168,-23.67,91.34
1939,-41.91736527,-54.909052,-25.05,94.26
1938,-42.34131737,-55.97303147,-26.12,95.44
1937,-42.26946108,-56.7884176,-26.94,95.24
1936,-43.00598802,-54.909052,-25.05,97.29
1935,-31.94011976,-54.909052,-25.05,66.49
1934,-32.2994012,-55.39629493,-25.54,67.49
1933,-32.65868263,-55.7443256,-25.89,68.49
1932,-34.27185629,-55.8934816,-26.04,72.98
1931,-35.72694611,-57.57397253,-27.73,77.03
1930,-37.48023952,,,81.91
1929,-38.89580838,,,85.85
1928,-40.61317365,,,90.63
1927,-42.08263473,,,94.72
1926,-48.0251497,,,111.26
1925,-43.95449102,,,99.93
1924,-45.1257485,,,103.19
1923,-47.04071856,,,108.52
1922,-48.50658683,,,112.6
1921,-50.08023952,,,116.98
1920,-52.35808383,,,123.32
