date,date_old,SPA_luc,SPLA_luc,SPA_fred,SPLA_fred
1941.067445,1932.049,-34.27185629,-55.8934816,-26.04,72.98
1941.894884,1933.049,-32.65868263,-55.7443256,-25.89,68.49
1942.960257,1934.049,-32.2994012,-55.39629493,-25.54,67.49
1944.101398,1935.049,-31.94011976,-54.909052,-25.05,66.49
1944.922892,1936.049,-43.00598802,-54.909052,-25.05,97.29
1945.908209,1937.049,-42.26946108,-56.7884176,-26.94,95.24
1946.953882,1938.049,-42.34131737,-55.97303147,-26.12,95.44
1948.976002,1940.049,-40.86826347,-53.5368168,-23.67,91.34
1949.899776,1939.949,-41.91736527,-54.909052,-25.05,94.26
1950.917413,1941.049,-38.38562874,-52.42311867,-22.55,84.43
1952.10859,1942.049,-37.48023952,-54.54113387,-24.68,81.91
1952.959056,1943.049,-36.56766467,-53.40754827,-23.54,79.37
1954.130694,1944.049,-35.54371257,-52.42311867,-22.55,76.52
1955.248363,1945.049,-34.20359281,-50.732684,-20.85,72.79
1956.238668,1946.049,-32.65149701,-49.4201112,-19.53,68.47
1957.203398,1947.049,-32.29221557,-47.96832613,-18.07,67.47
1958.115016,1948.049,-30.58562874,-46.39721627,-16.49,62.72
1960.089679,1949.099,-29.17724551,-45.20396827,-15.29,58.8
1961.159339,1951.049,-26.60479042,-43.1853904,-13.26,51.64
1962.030871,1952.049,-25.53413174,-42.42966667,-12.5,48.66
1962.723303,1953.049,-27.89461078,-42.09157973,-12.16,55.23
1963.612698,1954.049,-31.90778443,-42.42966667,-12.5,66.4
1964.287834,1955.049,-33.91257485,-41.6938304,-11.76,71.98
1964.990465,1956.049,-34.08143713,-49.69853573,-19.81,72.45
1966.173418,1957.149,-33.95928144,-49.90735413,-20.02,72.11
1967.046005,1958.049,-45.88383234,-50.26532853,-20.38,105.3
1967.564046,1959.049,-45.66107784,-51.19009573,-21.31,104.68
1967.976023,1960.049,-44.68023952,-51.8961008,-22.02,101.95
1969.143919,1961.049,-43.42994012,-52.48278107,-22.61,98.47
1969.792616,1962.049,-42.43832335,-54.17321573,-24.31,95.71
1970.688775,1963.049,-43.51616766,-55.34657627,-25.49,98.71
1971.235438,1964.049,-41.89221557,-55.73438187,-25.88,94.19
1971.806574,1965.049,-40.09580838,-55.34657627,-25.49,89.19
1972.664646,1966.049,-38.8239521,-56.6094304,-26.76,85.65
1973.10837,1967.049,-37.72095808,-53.72574773,-23.86,82.58
1973.624103,1968.049,-35.49700599,-52.48278107,-22.61,76.39
1974.912399,1970.049,-34.68502994,-49.9272416,-20.04,74.13
1975.277533,1971.049,-33.48143713,-49.29084267,-19.4,70.78
1976.111211,1972.049,-32.35688623,-47.61035173,-17.71,67.65
1977.035874,1973.349,-30.84790419,-51.31936427,-21.44,63.45
1978.40735,1975.049,-37.29700599,-60.59686747,-30.77,81.4
1979.217408,1976.049,-37.32934132,-61.8000592,-31.98,81.49
1980.368161,1977.049,-36.75449102,-62.47623307,-32.66,79.89
1981.225978,1978.049,-35.49700599,-62.91375733,-33.1,76.39
1982.096766,1979.049,-34.41916168,-62.95353227,-33.14,73.39
1982.978096,1980.049,-33.83353293,-63.09274453,-33.28,71.76
1984.290393,1981.049,-33.5245509,-63.5004376,-33.69,70.9
1985.570399,1982.049,-31.80718563,-67.04040667,-37.25,66.12
1986.85729,1983.049,-30.47065868,-64.25616133,-34.45,62.4
1987.617358,1984.049,-29.01556886,-63.7390872,-33.93,58.35
1989.478021,1985.049,-27.15449102,-61.8000592,-31.98,53.17
1990.211426,1986.049,-25.69221557,-60.76591093,-30.94,49.1
1990.805462,1987.049,-26.0011976,-59.76159387,-29.93,49.96
1991.937287,1988.049,-26.19520958,-58.92632027,-29.09,50.5
1993.214445,1989.049,-26.81317365,-60.67641733,-30.85,52.22
1994.043319,1990.049,-28.75329341,-62.41657067,-32.6,57.62
1995.022428,1991.049,-28.19640719,-62.28730213,-32.47,56.07
1996.038442,1992.049,-27.65389222,-61.5614096,-31.74,54.56
1996.866973,1993.049,-26.9497006,-60.19911813,-30.37,52.6
1997.246454,1994.049,-25.75688623,-59.76159387,-29.93,49.28
1998.0694,1995.049,-25.11377246,-58.32969627,-28.49,47.49
1998.968049,1996.049,-24.51377246,-57.07678587,-27.23,45.82
2000.11368,1997.049,-22.91856287,-56.02275013,-26.17,41.38
2001.13117,1998.049,-21.21916168,-55.0880392,-25.23,36.65
2001.863966,1999.049,-19.7748503,-53.69591653,-23.83,32.63
2002.105107,2000.049,-18.63592814,-52.0452568,-22.17,29.46
2002.684182,2001.049,-17.70538922,-50.89178373,-21.01,26.87
2003.316975,2002.049,-16.50179641,-50.18577867,-20.3,23.52
2004.022672,2003.049,-15.76167665,-49.3604488,-19.47,21.46
2004.650257,2004.049,-14.8742515,-48.0777072,-18.18,18.99
2005.392526,2005.049,-13.76407186,-46.4668224,-16.56,15.9
2006.398534,2006.049,-12.38802395,-45.65143627,-15.74,12.07
2006.617527,2007.049,-10.77844311,-44.47807573,-14.56,7.59
