datetime,SST,SSS,age_absolute,synthetic_d18o,synthetic_d18o_2
1937-01-15,29.841009,34.228683,1937.0411,-0.10116,-0.10116
1937-02-15,29.663996,34.174336,1937.1232,-0.11355,-0.11355
1937-03-15,29.462067,34.205462,1937.2033,-0.091523,-0.091523
1937-04-15,30.152727,34.183111,1937.2881,-0.152997,-0.152997
1937-05-15,29.591029,34.136817,1937.3703,-0.085506,-0.085506
1937-06-15,28.311979,34.272757,1937.4552,0.139213,0.139213
1937-07-15,28.604033,34.519976,1937.5373,0.295648,0.295648
1937-08-15,28.028297,34.407046,1937.6222,0.363648,0.363648
1937-09-15,28.126408,34.660797,1937.707,0.302695,0.302695
1937-10-15,28.167832,34.544791,1937.7892,0.240185,0.240185
1937-11-15,29.084433,34.562708,1937.874,0.066141,0.066141
1937-12-15,30.034493,34.345171,1937.9562,0.012264,0.012264
1938-01-15,29.92013,34.468713,1938.0411,-0.147995,-0.147995
1938-02-15,29.575022,34.178802,1938.1232,-0.152075,-0.152075
1938-03-15,29.886017,34.370255,1938.2033,-0.213514,-0.213514
1938-04-15,29.898103,34.220624,1938.2881,-0.168935,-0.168935
1938-05-15,29.452684,34.412705,1938.3703,-0.1076,-0.1076
1938-06-15,29.369273,34.143602,1938.4552,0.085862,0.085862
1938-07-15,28.408607,34.472938,1938.5373,0.280233,0.280233
1938-08-15,27.522357,34.532931,1938.6222,0.330591,0.330591
1938-09-15,28.707968,34.503258,1938.707,0.311405,0.311405
1938-10-15,28.546217,34.603923,1938.7892,0.138392,0.138392
1938-11-15,29.128581,34.552867,1938.874,0.063683,0.063683
1938-12-15,30.045702,34.358888,1938.9562,-0.084395,-0.084395
1939-01-15,29.703118,34.224807,1939.0411,-0.074473,-0.074473
1939-02-15,29.709036,34.289946,1939.1232,-0.034586,-0.034586
1939-03-15,29.217648,34.192567,1939.2033,-0.0901,-0.0901
1939-04-15,29.35636,34.168332,1939.2881,-0.107761,-0.107761
1939-05-15,29.910121,34.276359,1939.3703,0.017924,0.017924
1939-06-15,28.877546,34.213699,1939.4552,0.173872,0.173872
1939-07-15,28.400562,34.749163,1939.5373,0.318526,0.318526
1939-08-15,28.209092,34.551427,1939.6222,0.392717,0.392717
1939-09-15,28.607446,34.630278,1939.707,0.313931,0.313931
1939-10-15,28.423928,34.652662,1939.7892,0.29578,0.29578
1939-11-15,29.463566,34.720586,1939.874,0.042052,0.042052
1939-12-15,29.585219,34.439058,1939.9562,-0.073331,-0.073331
1940-01-15,29.355552,34.378015,1940.0411,0.073014,0.073014
1940-02-15,29.772797,34.197493,1940.1232,0.047592,0.047592
1940-03-15,29.407283,34.202425,1940.2033,0.157949,0.157949
1940-04-15,29.227784,34.207207,1940.2881,0.106814,0.106814
1940-05-15,28.86202,34.277364,1940.3703,0.219183,0.219183
1940-06-15,29.134427,34.281881,1940.4552,0.331371,0.331371
1940-07-15,28.539075,34.532538,1940.5373,0.420605,0.420605
1940-08-15,28.222562,34.486895,1940.6222,0.569491,0.569491
1940-09-15,28.352521,34.48365,1940.707,0.537464,0.537464
1940-10-15,28.838894,34.393252,1940.7892,0.508825,0.508825
1940-11-15,28.995105,34.580248,1940.874,0.313857,0.313857
1940-12-15,29.508904,34.525431,1940.9562,0.209532,0.209532
1941-01-15,30.067369,34.560838,1941.0411,0.003648,0.003648
1941-02-15,29.404599,34.200484,1941.1232,-0.028162,-0.028162
1941-03-15,29.619128,34.268747,1941.2033,-0.083221,-0.083221
1941-04-15,29.845198,34.185761,1941.2881,-0.040721,-0.040721
1941-05-15,29.264868,34.530918,1941.3703,0.105308,0.105308
1941-06-15,28.642733,34.298487,1941.4552,0.227152,0.227152
1941-07-15,28.315454,34.574239,1941.5373,0.376691,0.376691
1941-08-15,28.096779,34.470218,1941.6222,0.458255,0.458255
1941-09-15,28.130645,34.640725,1941.707,0.333995,0.333995
1941-10-15,28.323023,34.5297,1941.7892,0.302312,0.302312
1941-11-15,29.022352,34.516912,1941.874,0.177795,0.177795
1941-12-15,29.412218,34.464872,1941.9562,0.024303,0.024303
1942-01-15,30.145666,34.476538,1942.0411,-0.060159,-0.060159
1942-02-15,29.349372,34.340939,1942.1232,-0.163001,-0.163001
1942-03-15,29.796773,34.619905,1942.2033,-0.08782,-0.08782
1942-04-15,29.937713,34.279861,1942.2881,-0.098316,-0.098316
1942-05-15,29.249684,34.334798,1942.3703,-0.005801,-0.005801
1942-06-15,28.828835,34.35704,1942.4552,0.090902,0.090902
1942-07-15,29.07689,34.316113,1942.5373,0.28742,0.28742
1942-08-15,27.634813,34.507705,1942.6222,0.395432,0.395432
1942-09-15,28.283883,34.447311,1942.707,0.384779,0.384779
1942-10-15,28.900624,34.439346,1942.7892,0.182039,0.182039
1942-11-15,29.301181,34.43638,1942.874,0.096264,0.096264
1942-12-15,29.945284,34.226579,1942.9562,0.073927,0.073927
1943-01-15,29.622215,34.456402,1943.0411,0.103377,0.103377
1943-02-15,29.596299,34.339934,1943.1232,0.054024,0.054024
1943-03-15,29.28217,34.201181,1943.2033,0.114686,0.114686
1943-04-15,29.401045,34.361006,1943.2881,0.034585,0.034585
1943-05-15,28.966,34.350687,1943.3703,0.166855,0.166855
1943-06-15,29.20962,34.253639,1943.4552,0.408229,0.408229
1943-07-15,28.762566,34.432072,1943.5373,0.447846,0.447846
1943-08-15,28.351018,34.462205,1943.6222,0.569447,0.569447
1943-09-15,27.292219,34.452646,1943.707,0.515183,0.515183
1943-10-15,28.322409,34.675624,1943.7892,0.390627,0.390627
1943-11-15,29.155496,34.514614,1943.874,0.189366,0.189366
1943-12-15,29.32435,34.545409,1943.9562,0.217529,0.217529
1944-01-15,29.526298,34.417369,1944.0411,0.107422,0.107422
1944-02-15,29.450654,34.296415,1944.1232,0.122899,0.122899
1944-03-15,29.676314,34.300844,1944.2033,0.065102,0.065102
1944-04-15,29.225699,34.397764,1944.2881,0.150487,0.150487
1944-05-15,29.29873,34.317733,1944.3703,0.066336,0.066336
1944-06-15,28.71307,34.384764,1944.4552,0.337805,0.337805
1944-07-15,28.205683,34.587799,1944.5373,0.461444,0.461444
1944-08-15,27.910755,34.644858,1944.6222,0.579621,0.579621
1944-09-15,28.508458,34.618048,1944.707,0.546474,0.546474
1944-10-15,28.52869,34.587112,1944.7892,0.37475,0.37475
1944-11-15,29.281239,34.513273,1944.874,0.316757,0.316757
1944-12-15,29.577637,34.483803,1944.9562,0.22195,0.22195
1945-01-15,29.755446,34.481036,1945.0411,-0.048523,-0.048523
1945-02-15,29.874772,34.419983,1945.1232,0.013602,0.013602
1945-03-15,29.846845,34.203605,1945.2033,-0.058233,-0.058233
1945-04-15,29.558,34.19416,1945.2881,-0.055898,-0.055898
1945-05-15,29.098799,34.46814,1945.3703,0.046089,0.046089
1945-06-15,28.535624,34.521387,1945.4552,0.134834,0.134834
1945-07-15,28.569729,34.565674,1945.5373,0.372383,0.372383
1945-08-15,27.849451,34.562478,1945.6222,0.419482,0.419482
1945-09-15,28.557135,34.540379,1945.707,0.356019,0.356019
1945-10-15,28.600328,34.553676,1945.7892,0.230954,0.230954
1945-11-15,29.040843,34.525909,1945.874,0.10752,0.10752
1945-12-15,29.603026,34.381989,1945.9562,0.017682,0.017682
1946-01-15,29.386325,34.230412,1946.0411,0.016247,0.016247
1946-02-15,29.566685,34.320526,1946.1232,-0.031574,-0.031574
1946-03-15,29.899557,34.218638,1946.2033,0.055956,0.055956
1946-04-15,29.296285,34.182609,1946.2881,-0.032565,-0.032565
1946-05-15,29.441081,34.176178,1946.3703,0.043463,0.043463
