index,Name,Mass,Amp 44,Area 44,sample,age1,age2,age_end,path_name,path_num,age_lin,age_absolute,d13c,d18o,age_calc,month_int,d18o_dt
0,12 SPL A Path O 1A,0.213,9003.0,110.273,O 1A,,0.1,,O,1,0.28436936478109065,1927.1490000000001,-1.1839182011044471,25.848182981754395,1930.2559139088726,3,0.15577355979683105
1,12 SPL A Path O 2A,0.225,15317.0,178.989,O 2A,,,,O,2,0.38436936478109063,1927.249,-1.107188800821934,25.659577248793884,1930.3559139088727,4,-0.0395855022348961
2,12 SPL A Path O 3A,0.208,14281.0,180.81,O 3A,,,,O,3,0.48436936478109066,1927.3490000000002,-0.8018213990945885,25.58264000252917,1930.4559139088726,5,-0.12245346985195127
3,12 SPL A Path O 4A,0.251,12052.0,146.341,O 4A,,,,O,4,0.5843693647810907,1927.449,-1.1867007777517944,25.639262541607163,1930.5559139088728,7,-0.07093904437832421
4,12 SPL A Path O 5A,0.249,16673.0,212.049,O 5A,,,,O,5,0.6843693647810907,1927.549,-1.2440825066242212,25.76950129127601,1930.6559139088727,8,0.05501419946324049
5,12 SPL A Path O 6A,0.245,21957.0,270.774,O 6A,,,,O,6,0.7843693647810906,1927.6490000000001,-1.0228972985565492,25.758694576617852,1930.7559139088726,9,0.0407445866966718
6,12 SPL A Path O 7A,0.233,18377.0,227.759,O 7A,,,,O,7,0.8843693647810907,1927.749,-0.9872281878435057,25.752761468765218,1930.8559139088727,10,0.03217118851270939
7,12 SPL A Path O 8A,0.246,17131.0,215.102,O 8A,,,,O,8,0.9843693647810907,1927.8490000000002,-1.106410836362122,25.806073679640978,1930.9559139088726,11,0.08366571680511825
8,12 SPL A Path O 9A,0.213,14001.0,171.0,O 9A,,,,O,9,1.0843693647810908,1927.949,-1.1170656549243732,25.667999424772173,1931.0559139088728,1,-0.055403612928163426
9,12 SPL A Path O 10A,0.248,14981.0,191.732,O 10A,1.0,1.0,,O,10,1.1843693647810907,1928.049,-0.8686351509515498,25.673999180239246,1931.1559139088727,2,-0.04957632457758976
10,12 SPL A Path O 11A,0.238,16921.0,204.087,O 11A,,,,O,11,1.2468693647810907,1928.1115,-1.1474360687550262,25.562873104177466,1931.2184139088727,3,-0.1603924621035766
11,12 SPL A Path O 12A,0.2,15359.0,194.735,O 12A,,,,O,12,1.3093693647810907,1928.174,-0.956751487764903,25.559348621508253,1931.2809139088727,3,-0.16328567506498004
12,21 SPL A Path O 13A,0.23,14146.0,171.922,O 13A,,,,O,13,1.3718693647810907,1928.2365,-0.8331652639876257,25.63608354840984,1931.3434139088727,4,-0.08559814731266968
13,22 SPL A Path O 14A,0.212,19518.0,247.169,O 14A,,,,O,14,1.4343693647810907,1928.299,-0.8452808888013204,25.661923220570895,1931.4059139088727,5,-0.05848454315797724
14,23 SPL A Path O 15A,0.201,13351.0,167.663,O 15A,,,,O,15,1.4968693647810907,1928.3615,-1.0616512290916056,25.807917270269673,1931.4684139088727,6,0.08910476970645576
15,24 SPL A Path O 16A,0.253,22622.0,279.787,O 16A,,,,O,16,1.5593693647810907,1928.424,-0.92298898107314,25.881101251478665,1931.5309139088727,6,0.16420534522401553
16,25 SPL A Path O 17A,0.204,20546.0,256.603,O 17A,,,,O,17,1.6218693647810907,1928.4865,-0.979161766840924,25.991698557128867,1931.5934139088727,7,0.27704057632569956
17,26 SPL A Path O 18A,0.224,20318.0,250.738,O 18A,,,1.0,O,18,1.6843693647810907,1928.549,-0.707547260205108,25.69492702122768,1931.6559139088727,8,-0.017171702951987555
18,27 SPL A Path O 19A,0.24,12821.0,162.798,O 19A,,,,O,19,1.934369364781091,1928.799,-0.5473003405058336,25.783488959355463,1931.9059139088727,11,0.08484057309892634
19,28 SPL A Path O 20A,0.234,11872.0,145.224,O 20A,1.0,2.0,,O,20,2.184369364781091,1929.049,-0.9595383534842514,25.520386720143417,1932.1559139088727,2,-0.1596700297578515
20,12 SPL A Path N 1A,0.242,12921.0,155.538,N 1A,,2.1,,N,1,2.2843693647810905,1929.1490000000001,-0.4956977866418517,25.770250606595358,1932.2559139088726,3,-0.1491129169688854
21,12 SPL A Path N 2A,0.278,13808.0,166.184,N 2A,,,,N,2,2.3510360314477574,1929.2156666666667,-0.7755404935023524,25.664740999714216,1932.3225805755394,4,-0.2508120976806616
22,12 SPL A Path N 3A,0.332,16325.0,198.031,N 3A,,,,N,3,2.417702698114424,1929.2823333333333,-0.8539932177912977,25.72245921503828,1932.389247242206,5,-0.18939810944674562
