sample #,age_absolute,d18o
1,1928.099,25.84818298
2,1928.204556,25.65957725
3,1928.310111,25.58264
4,1928.415667,25.63926254
5,1928.521222,25.76950129
6,1928.626778,25.75869458
7,1928.732333,25.75276147
8,1928.837889,25.80607368
9,1928.943444,25.66799942
10,1929.049,25.67399918
11,1929.1115,25.5628731
12,1929.174,25.55934862
13,1929.2365,25.63608355
14,1929.299,25.66192322
15,1929.3615,25.80791727
16,1929.424,25.88110125
17,1929.4865,25.99169856
18,1929.549,25.69492702
19,1929.799,25.78348896
20,1930.049,25.52038672
21,1930.099,25.77025061
22,1930.174,25.664741
23,1930.249,25.72245922
24,1930.324,25.94422228
25,1930.399,26.14754044
26,1930.474,26.14143035
27,1930.549,25.92373284
28,1930.715667,25.97804774
29,1930.882333,25.90356179
30,1931.049,25.89756141
31,1931.132333,25.77230396
32,1931.215667,25.63847454
33,1931.299,25.94895695
34,1931.382333,25.97347864
35,1931.465667,25.90520368
36,1931.549,26.00777629
37,1931.715667,25.8768251
38,1931.882333,25.93653593
39,1932.049,25.81480131
40,1932.174,25.79701179
41,1932.299,25.93711294
42,1932.424,25.99172958
43,1932.549,25.86286504
44,1932.715667,25.96625076
45,1932.882333,25.89840685
46,1933.049,25.78236206
47,1933.120429,25.75479168
48,1933.191857,25.69585086
49,1933.263286,25.76652401
50,1933.334714,25.9238553
51,1933.406143,25.99289046
52,1933.477571,26.0632031
53,1933.549,25.56753885
54,1933.715667,25.93711588
55,1933.882333,25.71882862
56,1934.049,25.84527537
57,1934.149,25.71016457
58,1934.249,25.7323782
59,1934.349,25.77484322
60,1934.449,25.96769673
61,1934.549,25.94601995
62,1934.649,25.99786612
63,1934.749,25.8126735
64,1934.849,25.83781629
65,1934.949,25.83483717
66,1935.049,25.81615617
67,1935.132333,25.98701451
68,1935.215667,26.09429337
69,1935.299,26.17261564
70,1935.382333,26.02971856
71,1935.449,25.86138923
72,1935.465667,26.07764024
73,1935.549,25.6630893
74,1935.715667,26.63502361
75,1935.749,25.5846244
76,1935.882333,26.00329144
77,1936.049,26.01765021
78,1936.049,25.76513182
79,1936.174,25.77611936
80,1936.215667,26.38221926
81,1936.299,26.09067075
82,1936.382333,26.34774625
83,1936.424,26.17303768
84,1936.549,26.26553279
85,1936.549,25.98771982
86,1936.615667,25.62420002
87,1936.682333,25.96603916
88,1936.715667,25.83525133
89,1936.749,25.78607396
90,1936.882333,25.5526487
91,1937.049,25.26373825
92,1937.132333,25.36312313
93,1937.215667,25.55207041
94,1937.299,25.45864109
95,1937.382333,25.8028141
96,1937.465667,25.64576019
97,1937.549,25.7170308
98,1937.715667,25.73079455
99,1937.882333,25.09859624
100,1938.049,25.34565812
101,1938.215667,25.34893228
102,1938.382333,25.53012276
103,1938.549,25.90363897
104,1938.649,25.59905925
105,1938.749,25.83216628
106,1938.849,25.64810779
107,1938.949,25.58055491
108,1939.049,25.57612551
