,date,d18o
0,1958-01-16T00:00:00.000000000,8.872583
1,1958-02-15T00:00:00.000000000,8.85111
2,1958-03-16T00:00:00.000000000,8.871435
3,1958-04-16T00:00:00.000000000,8.97998
4,1958-05-16T00:00:00.000000000,9.095548
5,1958-06-16T00:00:00.000000000,9.35864
6,1958-07-16T00:00:00.000000000,9.502057
7,1958-08-16T00:00:00.000000000,9.542982
8,1958-09-16T00:00:00.000000000,9.41696
9,1958-10-16T00:00:00.000000000,9.280478
10,1958-11-16T00:00:00.000000000,9.24914
11,1958-12-16T00:00:00.000000000,9.183738
12,1959-01-16T00:00:00.000000000,9.216929
13,1959-02-15T00:00:00.000000000,9.189421
14,1959-03-16T00:00:00.000000000,9.142518
15,1959-04-16T00:00:00.000000000,9.094534
16,1959-05-16T00:00:00.000000000,9.020956
17,1959-06-16T00:00:00.000000000,9.269247
18,1959-07-16T00:00:00.000000000,9.520628
19,1959-08-16T00:00:00.000000000,9.656606
20,1959-09-16T00:00:00.000000000,9.57028
21,1959-10-16T00:00:00.000000000,9.399077
22,1959-11-16T00:00:00.000000000,9.181877
23,1959-12-16T00:00:00.000000000,9.215855
24,1960-01-16T00:00:00.000000000,9.209606
25,1960-02-15T00:00:00.000000000,9.167316
26,1960-03-16T00:00:00.000000000,9.151874
27,1960-04-16T00:00:00.000000000,9.18766
28,1960-05-16T00:00:00.000000000,9.227604
29,1960-06-16T00:00:00.000000000,9.309988
30,1960-07-16T00:00:00.000000000,9.457393
31,1960-08-16T00:00:00.000000000,9.418304
32,1960-09-16T00:00:00.000000000,9.325859
33,1960-10-16T00:00:00.000000000,9.31555
34,1960-11-16T00:00:00.000000000,9.344335
35,1960-12-16T00:00:00.000000000,9.285194
36,1961-01-16T00:00:00.000000000,9.283967
37,1961-02-15T00:00:00.000000000,9.26284
38,1961-03-16T00:00:00.000000000,9.144574
39,1961-04-16T00:00:00.000000000,9.11129
40,1961-05-16T00:00:00.000000000,9.190147
41,1961-06-16T00:00:00.000000000,9.233484
42,1961-07-16T00:00:00.000000000,9.428487
43,1961-08-16T00:00:00.000000000,9.484887
44,1961-09-16T00:00:00.000000000,9.38748
45,1961-10-16T00:00:00.000000000,9.307278
46,1961-11-16T00:00:00.000000000,9.115154
