index,Name,Mass,Amp 44,Area 44,sample,age1,age_end,age2,path_name,path_num,d13c,d18o,age_median,age_lower,age_upper,age_uncertainty
0,12 SPL A Path O 1A,0.213,9003.0,110.273,O 1A,,,0.050000000000000044,O,1,-1.1839182011044471,25.848182981754395,2007.2,2007.2,2007.2,0.0
1,12 SPL A Path O 2A,0.225,15317.0,178.989,O 2A,,,,O,2,-1.107188800821934,25.659577248793884,2007.0989094622892,2007.0705743904166,2007.119260770877,0.04868638046036722
2,12 SPL A Path O 3A,0.208,14281.0,180.81,O 3A,,,,O,3,-0.8018213990945885,25.58264000252917,2006.9972206555562,2006.9494988251774,2007.0341196022239,0.08462077704643889
3,12 SPL A Path O 4A,0.251,12052.0,146.341,O 4A,,,,O,4,-1.1867007777517944,25.639262541607163,2006.8943621499434,2006.8308552909677,2006.95094452848,0.12008923751227485
4,12 SPL A Path O 5A,0.249,16673.0,212.049,O 5A,,,,O,5,-1.2440825066242212,25.76950129127601,2006.7861392710156,2006.7116200831704,2006.8671681287296,0.1555480455592715
5,12 SPL A Path O 6A,0.245,21957.0,270.774,O 6A,,,,O,6,-1.0228972985565492,25.758694576617852,2006.6907832113661,2006.5909085396013,2006.7819542760617,0.1910457364604099
6,12 SPL A Path O 7A,0.233,18377.0,227.759,O 7A,,,,O,7,-0.9872281878435057,25.752761468765218,2006.5802202569748,2006.4707260247528,2006.6974435006837,0.22671747593085456
7,12 SPL A Path O 8A,0.246,17131.0,215.102,O 8A,,,,O,8,-1.106410836362122,25.806073679640978,2006.4802485587684,2006.352355926523,2006.6132159823762,0.26086005585329985
8,12 SPL A Path O 9A,0.213,14001.0,171.0,O 9A,,,,O,9,-1.1170656549243732,25.667999424772173,2006.3762460803955,2006.235859360865,2006.5297605866483,0.2939012257832019
9,12 SPL A Path O 10A,0.248,14981.0,191.732,O 10A,1.0,,1.0,O,10,-0.8686351509515498,25.673999180239246,2006.2834255432078,2006.1140505386952,2006.4442284382214,0.3301778995262339
10,12 SPL A Path O 11A,0.238,16921.0,204.087,O 11A,,,,O,11,-1.1474360687550262,25.562873104177466,2006.1726499253227,2005.9974251720764,2006.3575218284507,0.36009665637425314
11,12 SPL A Path O 12A,0.2,15359.0,194.735,O 12A,,,,O,12,-0.956751487764903,25.559348621508253,2006.0617113639119,2005.8834981570856,2006.273529453821,0.39003129673551484
12,21 SPL A Path O 13A,0.23,14146.0,171.922,O 13A,,,,O,13,-0.8331652639876257,25.63608354840984,2005.9635453267322,2005.7683134430033,2006.1880467272192,0.4197332842159085
13,22 SPL A Path O 14A,0.212,19518.0,247.169,O 14A,,,,O,14,-0.8452808888013204,25.661923220570895,2005.85365709391,2005.6499987701625,2006.1019997142594,0.45200094409688063
14,23 SPL A Path O 15A,0.201,13351.0,167.663,O 15A,,,,O,15,-1.0616512290916056,25.807917270269673,2005.7491370943649,2005.532780282538,2006.016002252828,0.4832219702900602
15,24 SPL A Path O 16A,0.253,22622.0,279.787,O 16A,,,,O,16,-0.92298898107314,25.881101251478665,2005.6446744291147,2005.4182104768045,2005.930895499918,0.5126850231135904
16,25 SPL A Path O 17A,0.204,20546.0,256.603,O 17A,,,,O,17,-0.979161766840924,25.991698557128867,2005.5524116381766,2005.3032325163908,2005.8438810037153,0.5406484873244608
17,26 SPL A Path O 18A,0.224,20318.0,250.738,O 18A,,1.0,,O,18,-0.707547260205108,25.69492702122768,2005.4539156878536,2005.184282000682,2005.7609276182257,0.5766456175435906
18,27 SPL A Path O 19A,0.24,12821.0,162.798,O 19A,,,,O,19,-0.5473003405058336,25.783488959355463,2005.3500838709613,2005.0686376824613,2005.6771715272578,0.6085338447965114
19,28 SPL A Path O 20A,0.234,11872.0,145.224,O 20A,1.0,,2.0,O,20,-0.9595383534842514,25.520386720143417,2005.2467989904903,2004.948312673093,2005.5919563503683,0.6436436772753495
20,12 SPL A Path N 1A,0.242,12921.0,155.538,N 1A,,,2.05,N,1,-0.4956977866418517,25.770250606595358,2005.1698392709918,2004.8877061292021,2005.4749026269776,0.5871964977754942
21,12 SPL A Path N 2A,0.278,13808.0,166.184,N 2A,,,,N,2,-0.7755404935023524,25.664740999714216,2005.0676312848232,2004.7788895318179,2005.3878081156718,0.6089185838538924
22,12 SPL A Path N 3A,0.332,16325.0,198.031,N 3A,,,,N,3,-0.8539932177912977,25.72245921503828,2004.9606109137926,2004.6674123389378,2005.2970614676324,0.6296491286946093
23,12 SPL A Path N 4A,0.258,13584.0,158.465,N 4A,,,,N,4,-1.0921337702647147,25.944222283162805,2004.8520097060418,2004.5555348322375,2005.2044736460473,0.6489388138097638
24,12 SPL A Path N 5A,0.268,13880.0,169.092,N 5A,,,,N,5,-0.662825006156738,26.147540444755744,2004.7380747632774,2004.4462494781553,2005.118474549849,0.6722250716936742
25,12 SPL A Path N 6A,0.228,12373.0,144.376,N 6A,,,,N,6,-0.5564626383048062,26.141430349045248,2004.625095567103,2004.3323818891627,2005.0280118283831,0.6956299392204528
26,12 SPL A Path N 7A,0.252,13033.0,158.695,N 7A,,2.0,,N,7,-1.109325123630354,25.923732840837122,2004.5036596083617,2004.2218510079313,2004.9385367358184,0.7166857278871248
27,12 SPL A Path N 8A,0.232,12366.0,145.037,N 8A,,,,N,8,-0.7856254244394243,25.978047741667293,2004.4021209712162,2004.109734458123,2004.8469450602108,0.7372106020877709
28,12 SPL A Path N 9A,0.24,12380.0,150.652,N 9A,,,,N,9,-0.8950745586925912,25.903561785733782,2004.3041624805182,2003.9995112730574,2004.7586723689008,0.7591610958434103
29,12 SPL A Path N 10A,0.244,13251.0,156.489,N 10A,1.0,,3.0,N,10,-0.6809593667085425,25.897561411158375,2004.2060041057707,2003.887141288223,2004.6664498428036,0.7793085545806662
30,12 SPL A Path N 11A,0.246,12704.0,154.338,N 11A,,,,N,11,-1.0209114591029735,25.7723039592664,2004.10151202085,2003.7731234616542,2004.5779566359013,0.8048331742470509
31,12 SPL A Path N 12A,0.288,15014.0,180.33,N 12A,,,,N,12,-1.3095232576258642,25.63847454369525,2004.0038432954425,2003.6602688986925,2004.487776682993,0.827507784300451
32,12 SPL A Path N 13A,0.246,12339.0,147.025,N 13A,,,,N,13,-1.2720982005820503,25.94895694607268,2003.9019627622374,2003.545270919077,2004.3983665576056,0.8530956385286572
33,12 SPL A Path N 14A,0.24,12350.0,151.258,N 14A,,,,N,14,-1.3170545164016993,25.97347864011306,2003.8089387728996,2003.4338114474872,2004.3119819247502,0.8781704772629837
34,12 SPL A Path N 15A,0.256,13456.0,157.97,N 15A,,,,N,15,-1.1418526745475104,25.90520368414823,2003.7067068874985,2003.3233029457767,2004.2252116886148,0.9019087428380317
35,12 SPL A Path N 16A,0.25,12571.0,153.874,N 16A,,3.0,,N,16,-0.7572993926918274,26.00777629135965,2003.615256011479,2003.2049551487198,2004.1373089941155,0.9323538453957099
36,12 SPL A Path N 17A,0.294,15624.0,183.688,N 17A,,,,N,17,-0.9785530797698602,25.87682509627871,2003.503905137556,2003.0893292960768,2004.0485679735593,0.9592386774825172
37,12 SPL A Path N 18A,0.234,12479.0,152.568,N 18A,,,,N,18,-0.7522529054931643,25.936535925788323,2003.39053903359,2002.9767556858737,2003.9593358624418,0.9825801765680353
38,12 SPL A Path N 19A,0.232,13142.0,154.98,N 19A,1.0,,4.0,N,19,-0.4753764143056851,25.81480130605524,2003.2893356450818,2002.8648519732149,2003.8703849865778,1.0055330133629923
39,12 SPL A Path N 20A,0.27,13210.0,160.865,N 20A,,,,N,20,-1.0541105124818626,25.797011787375236,2003.1935724436632,2002.748996999663,2003.783672822604,1.0346758229411535
40,12 SPL A Path N 21A,0.264,14706.0,176.709,N 21A,,,,N,21,-1.3083018657744203,25.937112941400553,2003.0872525142822,2002.6331357088627,2003.6953072583644,1.062171549501727
41,12 SPL A Path N 22A,0.238,12507.0,151.741,N 22A,,,,N,22,-1.2083118407803008,25.99172957535224,2002.9863491587193,2002.519187429754,2003.60835292387,1.0891654941158322
42,12 SPL A Path N 23A,0.306,16278.0,195.754,N 23A,,4.0,,N,23,-0.7866722377918902,25.86286504114408,2002.8834541560745,2002.4078539286031,2003.5225886908663,1.114734762263197
43,12 SPL A Path N 24A,0.24,12014.0,143.245,N 24A,,,,N,24,-0.513271381426871,25.966250760338784,2002.786983673449,2002.2928226899214,2003.4346140289979,1.1417913390764625
44,12 SPL A Path N 25A,.0.276,13083.0,160.111,N 25A,,,,N,25,-0.9268902886711432,25.898406851690392,2002.6898101042232,2002.1781633101418,2003.3515900839636,1.1734267738218023
45,12 SPL A Path N 26A,0.248,11818.0,138.748,N 26A,1.0,,5.0,N,26,-1.2715079927154664,25.782362056534286,2002.5943894576176,2002.062504482471,2003.2632158559798,1.2007113735087387
46,12 SPL A Path N 27A,0.292,15799.0,192.739,N 27A,,,,N,27,-1.0699233482881971,25.75479168238311,2002.4987959316263,2001.95081685472,2003.1788990013272,1.2280821466072211
47,12 SPL A Path N 28A,0.272,14819.0,172.305,N 28A,,,,N,28,-1.3709042686969781,25.69585086012515,2002.3937012786118,2001.8385068600853,2003.0896683524647,1.251161492379424
48,12 SPL A Path N 29A,0.248,12649.0,154.197,N 29A,,,,N,29,-1.2975919731519299,25.76652400661416,2002.2905870050026,2001.724087489518,2003.0013663073373,1.2772788178192513
49,12 SPL A Path N 30A,0.224,13329.0,156.339,N 30A,,,,N,30,-1.185940751949899,25.9238552974611,2002.187990322795,2001.6093811002056,2002.915387491305,1.306006391099345
50,12 SPL A Path N 31A,0.24,12743.0,155.034,N 31A,,,,N,31,-0.8911346290385973,25.99289046414766,2002.083914500185,2001.4911664863444,2002.8279777146156,1.3368112282712445
51,12 SPL A Path N 32A,0.248,12869.0,151.609,N 32A,,,,N,32,-0.8966696932129582,26.063203098335652,2001.9797949363137,2001.378343266588,2002.740168238427,1.3618249718390416
52,12 SPL A Path N 33A,0.266,12913.0,157.241,N 33A,,5.0,,N,33,-0.6455943966580336,25.567538850204404,2001.8816466097906,2001.2638624412575,2002.6547835771105,1.3909211358529774
53,12 SPL A Path N 34A,0.266,12900.0,156.85,N 34A,,,,N,34,-0.6302312863967348,25.937115880359524,2001.7687685961155,2001.1514426169597,2002.56784122166,1.4163986047003618
54,12 SPL A Path N 35A,0.264,13272.0,157.443,N 35A,,,,N,35,-0.6994091927832763,25.718828621050275,2001.6718571299314,2001.0358098581596,2002.4817876508268,1.445977792667236
55,12 SPL A Path N 36A,0.226,9344.0,114.819,N 36A,1.0,,6.0,N,36,-1.0239939255411796,25.84527537167443,2001.5658412137873,2000.9220038803712,2002.3932791902673,1.4712753098961002
56,12 SPL A Path N 37A,0.244,13163.0,154.941,N 37A,,,,N,37,-1.2465023418310817,25.710164569989875,2001.457580168115,2000.8067984011714,2002.3069539874857,1.5001555863143494
57,12 SPL A Path N 38A,0.224,10333.0,126.982,N 38A,,,,N,38,-1.2217676392053258,25.732378201581316,2001.3473305105513,2000.6946701980028,2002.2240110955302,1.5293408975273906
58,12 SPL A Path N 39A,0.251,9502.0,111.574,N 39A,,,,N,39,-1.1692806716634458,25.774843219821417,2001.2445076123834,2000.5828965519736,2002.1385592167355,1.5556626647619396
