,index,Name,Mass,Amp 44,Area 44,sample,age1,age2,age_end,path_name,path_num,age_lin,age_absolute,d13c,d18o,age_warped,age_warped_dt,d18o_ma,d13c_ma,age_warped_ma,age_wraped_month
0,0,12 SPL A Path O 1A,0.213,9003.0,110.273,O 1A,,0.05,,O,1,0.383333333333333,1936.099,-1.183918201104447,25.84818298175439,1938.919598050285,1938-12-02 15:40:44.113787867,,,,12
1,1,12 SPL A Path O 2A,0.225,15317.0,178.989,O 2A,,,,O,2,0.488888888888888,1936.204555555556,-1.107188800821934,25.65957724879388,1939.02515360584,1939-01-10 04:20:44.113768109,25.696800077692483,-1.0309761336736565,1939.0251536058404,1
2,2,12 SPL A Path O 3A,0.208,14281.0,180.81,O 3A,,,,O,3,0.594444444444444,1936.310111111111,-0.8018213990945885,25.58264000252917,1939.130709161396,1939-02-17 17:00:44.113784203,25.627159930976735,-1.0319036592227722,1939.1307091613955,2
3,3,12 SPL A Path O 4A,0.251,12052.0,146.341,O 4A,,,,O,4,0.7,1936.415666666667,-1.186700777751794,25.63926254160716,1939.236264716951,1939-03-28 05:40:44.113764444,25.663801278470782,-1.077534894490201,1939.2362647169514,3
4,4,12 SPL A Path O 5A,0.249,16673.0,212.049,O 5A,,,,O,5,0.805555555555555,1936.521222222222,-1.244082506624221,25.76950129127601,1939.341820272507,1939-05-05 18:20:44.113780538,25.72248613650034,-1.1512268609775214,1939.3418202725068,5
5,5,12 SPL A Path O 6A,0.245,21957.0,270.774,O 6A,,,,O,6,0.911111111111111,1936.626777777778,-1.022897298556549,25.75869457661785,1939.447375828062,1939-06-13 07:00:44.113760779,25.760319112219694,-1.0847359976747584,1939.4473758280621,6
6,6,12 SPL A Path O 7A,0.233,18377.0,227.759,O 7A,,,,O,7,1.01666666666666,1936.732333333333,-0.9872281878435057,25.75276146876522,1939.552931383618,1939-07-21 19:40:44.113776874,25.772509908341352,-1.0388454409207255,1939.552931383618,7
7,7,12 SPL A Path O 8A,0.246,17131.0,215.102,O 8A,,,,O,8,1.12222222222222,1936.837888888889,-1.106410836362122,25.80607367964098,1939.658486939174,1939-08-29 08:20:44.113792967,25.742278191059455,-1.0702348930433334,1939.6584869391736,8
8,8,12 SPL A Path O 9A,0.213,14001.0,171.0,O 9A,,,,O,9,1.22777777777777,1936.943444444445,-1.117065654924373,25.66799942477217,1939.764042494729,1939-10-06 21:00:44.113773208,25.716024094884133,-1.0307038807460147,1939.7640424947294,10
9,9,12 SPL A Path O 10A,0.248,14981.0,191.732,O 10A,1.0,1.0,,O,10,1.33333333333333,1937.049,-0.8686351509515498,25.67399918023925,1939.869598050285,1939-11-14 09:40:44.113789301,25.634957236396293,-1.0443789582103162,1939.8621906428773,11
