coral_cycle_id,coral_start_raw,coral_end_raw,coral_peak_raw,coral_peak_d18o,clim_cycle_id,clim_peak_age,calendar_year_start,calendar_year_end
1,1939.02515,1939.15343,1939.02515,25.69680,,,1937.21984,1937.34764
2,1939.15343,1940.01347,1939.55293,25.77251,,,1937.34764,1938.20453
3,1940.01347,1940.87351,1940.36960,25.89357,,,1938.20453,1939.06142
4,1940.87351,1942.01400,1941.33071,26.07773,,,1939.06142,1940.19773
5,1942.01400,1942.93013,1942.42515,25.96215,,,1940.19773,1941.11050
6,1942.93013,1944.03322,1943.51775,25.94028,,,1941.11050,1942.20955
7,1944.03322,1944.96805,1944.34579,25.99332,,,1942.20955,1943.14095
8,1944.96805,1945.78840,1945.51404,25.97053,,,1943.14095,1943.95829
9,1945.78840,1946.42408,1946.20293,26.09888,,,1943.95829,1944.59165
10,1946.42408,1946.87509,1946.69182,26.16657,,,1944.59165,1945.04101
11,1946.87509,1947.56456,1947.20293,26.27355,,,1945.04101,1945.72796
12,1947.56456,1947.97589,1947.59182,25.86245,,,1945.72796,1946.13777
13,1947.97589,1948.87332,1948.42515,25.72187,,,1946.13777,1947.03192
14,1948.87332,1950.29426,1949.60293,25.77829,,,1947.03192,1948.44764
15,1950.29426,1951.09821,1950.88812,25.77302,,,1948.44764,1949.24865
16,1951.09821,1952.29478,1951.58997,25.67929,,,1949.24865,1950.44084
17,1952.29478,1952.85568,1952.61960,25.58784,,,1950.44084,1950.99968
18,1952.85568,1954.12704,1953.59182,25.87152,,,1950.99968,1952.26639
19,1954.12704,1955.92191,1954.86166,25.87518,,,1952.26639,1954.05467
20,1955.92191,1957.02500,1956.48997,25.78712,,,1954.05467,1955.15373
21,1957.02500,1957.92243,1957.60293,25.77049,,,1955.15373,1956.04787
22,1957.92243,1958.96944,1958.75849,25.91269,,,1956.04787,1957.09104
23,1958.96944,1959.92296,1959.26960,25.94229,,,1957.09104,1958.04107
24,1959.92296,1961.00736,1960.49923,25.72674,1,1958.62149,1958.04107,1959.12149
25,1961.00736,1962.05436,1961.49345,25.82514,2,1959.62149,1959.12149,1960.08042
26,1962.05436,1963.10137,1962.65059,25.74033,3,1960.53936,1960.08042,1961.08042
27,1963.10137,1964.24186,1963.79004,25.84114,4,1961.62149,1961.08042,1962.12149
28,1964.24186,1966.25011,1965.04793,25.88253,5,1962.62149,1962.12149,1963.20500
29,1966.25011,1967.15851,1966.42175,25.67122,6,1963.78850,1963.20500,1964.24880
30,1967.15851,1968.33639,1967.80093,25.68095,7,1964.70910,1964.24880,1965.16530
31,1968.33639,1969.08374,1968.81637,25.97875,8,1965.62149,1965.16530,1966.12149
32,1969.08374,1970.11256,1969.56410,25.72771,9,1966.62149,1966.12149,1967.07906
33,1970.11256,1971.34602,1970.59555,25.72329,10,1967.53662,1967.07906,1968.20637
34,1971.34602,1972.52786,1971.74583,25.78720,11,1968.87611,1968.20637,1969.74880
35,1972.52786,1975.06647,1973.61978,25.96289,12,1970.62149,1969.74880,1971.07906
36,1975.06647,1976.57553,1975.35167,25.84403,13,1971.53662,1971.07906,1972.03799
37,1976.57553,1979.09492,1977.75321,25.88257,14,1972.53936,1972.03799,1973.12286
38,1979.09492,1980.81717,1980.27324,25.79549,15,1973.70637,1973.12286,1974.16393
39,1980.81717,1982.00644,1981.49100,25.88740,16,1974.62149,1974.16393,1975.12149
40,1982.00644,1982.89241,1982.52188,25.92511,17,1975.62149,1975.12149,1976.16530
