fred_cycle_id,fred_pseudo_start,fred_pseudo_end,clim_cycle_id,calendar_year_start,calendar_year_end
1,1994.50000,1995.06859,34,1994.20500,1995.24743
2,1995.06859,1995.53376,35,1995.24743,1996.16530
3,1995.53376,1995.89141,36,1996.16530,1997.16530
4,1995.89141,1997.66973,37,1997.16530,1998.66393
5,1997.66973,1999.83541,38,1998.66393,2000.12286
6,1999.83541,2000.80000,39,2000.12286,2001.12286
7,2000.80000,2001.98571,40,2001.12286,2002.16393
8,2001.98571,2002.97321,41,2002.16393,2003.20637
9,2002.97321,2003.83036,42,2003.20637,2004.16530
10,2003.83036,2004.85714,43,2004.16530,2005.16530
11,2004.85714,2006.04762,44,2005.16530,2006.16393
12,2006.04762,2007.03333,45,2006.16393,2007.12149
13,2007.03333,2007.80000,46,2007.12149,2008.16530
14,2007.80000,2008.57932,47,2008.16530,2009.20773
15,2008.57932,2009.39145,48,2009.20773,2010.16393
16,2009.39145,2010.51489,49,2010.16393,2011.12149
17,2010.51489,2011.70601,50,2011.12149,2012.12286
# BOUNDS:[1994.5,1995.0685905349583,1995.533761569792,1995.891408021547,1997.669734704927,1999.83540877098,2000.8000000000002,2001.9857145,2002.9732145,2003.830357,2004.8571425,2006.047619,2007.0333335,2007.8000000000002,2008.5793178126692,2009.3914455874392,2010.5148890092041,2011.7060097455333]
# MATCHES:[{"fredId":5,"climId":38},{"fredId":6,"climId":39},{"fredId":7,"climId":40},{"fredId":8,"climId":41},{"fredId":9,"climId":42},{"fredId":10,"climId":43},{"fredId":11,"climId":44},{"fredId":12,"climId":45},{"fredId":13,"climId":46},{"fredId":14,"climId":47},{"fredId":15,"climId":48},{"fredId":16,"climId":49},{"fredId":17,"climId":50},{"fredId":4,"climId":37},{"fredId":3,"climId":36},{"fredId":2,"climId":35},{"fredId":1,"climId":34}]
# PIN:{"pseudoX":2007.078311286146,"calY":2007.26}
