name,path,path_num,d18o_pdb,age_orig,age_edited,delta_days
12 SPL A Path O 1A,O,1,-4.91700,1936.916006,1936.986457,25.73
12 SPL A Path O 2A,O,2,-5.09995,1937.022178,1937.090823,25.07
12 SPL A Path O 3A,O,3,-5.17458,1937.128349,1937.191574,23.09
12 SPL A Path O 4A,O,4,-5.11966,1937.234520,1937.258004,8.58
12 SPL A Path O 5A,O,5,-4.99333,1937.340692,1937.398498,21.11
12 SPL A Path O 6A,O,6,-5.00381,1937.446863,1937.557056,40.25
12 SPL A Path O 7A,O,7,-5.00956,1937.553034,1937.666840,41.57
12 SPL A Path O 8A,O,8,-4.95785,1937.659206,1937.776625,42.89
12 SPL A Path O 9A,O,9,-5.09178,1937.765377,1937.904473,50.80
12 SPL A Path O 10A,O,10,-5.08596,1937.871548,1938.013754,51.94
12 SPL A Path O 11A,O,11,-5.19376,1937.955368,1938.101690,53.44
12 SPL A Path O 12A,O,12,-5.19718,1938.039187,1938.220334,66.16
21 SPL A Path O 13A,O,13,-5.12274,1938.123007,1938.289199,60.70
22 SPL A Path O 14A,O,14,-5.09768,1938.206826,1938.363484,57.22
23 SPL A Path O 15A,O,15,-4.95606,1938.290646,1938.426355,49.57
24 SPL A Path O 16A,O,16,-4.88507,1938.374465,1938.489000,41.83
25 SPL A Path O 17A,O,17,-4.77779,1938.458285,1938.539000,29.48
26 SPL A Path O 18A,O,18,-5.06566,1938.542104,1938.688426,53.44
27 SPL A Path O 19A,O,19,-4.97976,1938.709743,1938.789226,29.03
28 SPL A Path O 20A,O,20,-5.23497,1938.877382,1939.009252,48.17
12 SPL A Path N 1A,N,1,-4.99260,1938.927674,1938.902140,-9.33
12 SPL A Path N 2A,N,2,-5.09494,1939.031051,1939.106242,27.46
12 SPL A Path N 3A,N,3,-5.03896,1939.134429,1939.258312,45.25
12 SPL A Path N 4A,N,4,-4.82384,1939.237806,1939.342263,38.15
12 SPL A Path N 5A,N,5,-4.62662,1939.341183,1939.440294,36.20
12 SPL A Path N 6A,N,6,-4.63255,1939.444561,1939.511518,24.46
12 SPL A Path N 7A,N,7,-4.84372,1939.547938,1939.561518,4.96
12 SPL A Path N 8A,N,8,-4.79103,1939.659697,1939.659697,0.00
12 SPL A Path N 9A,N,9,-4.86329,1939.771457,1939.736827,-12.65
12 SPL A Path N 10A,N,10,-4.86911,1939.883216,1939.810205,-26.67
12 SPL A Path N 11A,N,11,-4.99061,1939.994975,1939.887301,-39.33
12 SPL A Path N 12A,N,12,-5.12042,1940.106735,1939.975172,-48.05
12 SPL A Path N 13A,N,13,-4.81925,1940.218494,1940.114898,-37.84
12 SPL A Path N 14A,N,14,-4.79547,1940.330253,1940.256530,-26.93
12 SPL A Path N 15A,N,15,-4.86169,1940.442013,1940.442013,0.00
12 SPL A Path N 16A,N,16,-4.76220,1940.553772,1940.586150,11.83
12 SPL A Path N 17A,N,17,-4.88922,1940.665531,1940.807466,51.84
12 SPL A Path N 18A,N,18,-4.83130,1940.777291,1940.908166,47.80
12 SPL A Path N 19A,N,19,-4.94938,1940.889050,1941.067445,65.16
12 SPL A Path N 20A,N,20,-4.96664,1941.056689,1941.230844,63.61
12 SPL A Path N 21A,N,21,-4.83074,1941.224328,1941.433026,76.23
12 SPL A Path N 22A,N,22,-4.77776,1941.391967,1941.509606,42.97
12 SPL A Path N 23A,N,23,-4.90276,1941.559606,1941.587624,10.23
12 SPL A Path N 24A,N,24,-4.80248,1941.671365,1941.671365,0.00
12 SPL A Path N 25A,N,25,-4.86829,1941.783124,1941.783124,0.00
12 SPL A Path N 26A,N,26,-4.98085,1941.894884,1941.894884,0.00
12 SPL A Path N 27A,N,27,-5.00759,1941.990677,1941.990677,0.00
12 SPL A Path N 28A,N,28,-5.06477,1942.086471,1942.195042,39.66
12 SPL A Path N 29A,N,29,-4.99621,1942.182265,1942.343633,58.94
12 SPL A Path N 30A,N,30,-4.84360,1942.278058,1942.421916,52.54
12 SPL A Path N 31A,N,31,-4.77664,1942.373852,1942.517710,52.54
12 SPL A Path N 32A,N,32,-4.70843,1942.469646,1942.588988,43.59
12 SPL A Path N 33A,N,33,-5.18923,1942.565440,1942.667006,37.10
12 SPL A Path N 34A,N,34,-4.83074,1942.677199,1942.750747,26.86
12 SPL A Path N 35A,N,35,-5.04248,1942.788958,1942.848497,21.75
12 SPL A Path N 36A,N,36,-4.91982,1942.900718,1942.960257,21.75
12 SPL A Path N 37A,N,37,-5.05088,1943.034829,1943.059345,8.95
12 SPL A Path N 38A,N,38,-5.02934,1943.168940,1943.168940,0.00
12 SPL A Path N 39A,N,39,-4.98814,1943.303051,1943.303051,0.00
12 SPL A Path N 40A,N,40,-4.80107,1943.437162,1943.437162,0.00
12 SPL A Path N 41A,N,41,-4.82210,1943.571273,1943.620305,17.91
12 SPL A Path N 42A,N,42,-4.77181,1943.638329,1943.753904,42.21
12 SPL A Path N 43A,N,43,-4.95145,1943.705385,1943.831011,45.88
12 SPL A Path N 44A,N,44,-4.92706,1943.772440,1943.933545,58.84
12 SPL A Path N 45A,N,45,-4.92995,1943.839496,1943.989638,54.84
12 SPL A Path N 46A,N,46,-4.94807,1943.906551,1944.101398,71.17
12 SPL A Path N 47A,N,47,-4.78234,1944.018311,1944.266973,90.82
12 SPL A Path N 48A,N,48,-4.67827,1944.130070,1944.377450,90.36
12 SPL A Path N 49A,N,49,-4.60230,1944.241829,1944.427450,67.80
12 SPL A Path N 50A,N,50,-4.74091,1944.353589,1944.480609,46.39
12 SPL A Path N 51A,N,51,-4.69443,1944.465348,1944.583144,43.02
12 SPL A Path N 52A,N,52,-5.09655,1944.577107,1944.650655,26.86
12 SPL A Path N 53A,N,53,-4.15376,1944.688867,1944.723890,12.79
SPL A  Path M 1A,M,1,-4.90419,1944.711218,1944.711218,0.00
12 SPL A Path N 54A,N,54,-4.76655,1944.800626,1944.800626,0.00
SPL A  Path M 2A,M,2,-5.17266,1944.811802,1944.811802,0.00
12 SPL A Path N 55A,N,55,-4.75262,1944.912385,1944.922892,3.84
SPL A  Path M 3A,M,3,-4.99756,1944.912385,1944.912385,0.00
SPL A  Path M 4A,M,4,-4.98691,1945.080024,1945.080024,0.00
12 SPL A Path N 56A,N,56,-4.39898,1945.135904,1945.093877,-15.35
SPL A  Path M 5A,M,5,-4.68179,1945.247663,1945.247663,0.00
12 SPL A Path N 57A,N,57,-4.43242,1945.359422,1945.236842,-44.77
