,index,Name,Mass,Amp 44,Area 44,sample,age1,age2,age_end,path_name,path_num,age_lin,age_v1,age_v2,age_final,d13c,d18o,path_ma,d18o_pdb,age_ws,age_ws2,d13c_ma,d18o_ma,d18o_pdb_ma,d13c_ma2,d18o_ma2,d18o_pdb_ma2,d13c_ma3,d18o_ma3,d18o_pdb_ma3,d13c_std,d18o_std,d18o_pdb_std,d13c_no_tectonic,d18o_no_tectonic,d18o_pdb_no_tectonic,d13c_notec_ma,d18o_notec_ma,d18o_pdb_notec_ma,d13c_no_tectonic2,d18o_no_tectonic2,d18o_pdb_no_tectonic2,age_dt,d13c_suess,d13c_suess_ma,d13c_suess_ma2,d13c_suess_ma3,d13c_suess_std,d13c_suess_no_tectonic,d13c_suess_no_tectonic2,d13c_suess_notec_ma,d13c_sg_trend,d13c_no_tec_sg,d13c_suess_sg_trend,d13c_suess_no_tec_sg,d18o_sg_trend,d18o_no_tec_sg,d18o_pdb_sg_trend,d18o_pdb_no_tec_sg,age_final_month,SST,SSS,synthetic_d18o,Sea Level,ENSO
0,0,12 SPL A Path O 1A,0.213,9003.0,110.273,O 1A,,0.1,,O,1,0.433333333333333,1927.1490000000001,1936.916006,1936.986457,-1.1839182011044471,25.848182981754395,,-4.907004025868417,,,,,,,,,,,,,,,,,,,,,,,,1936-12-27 01:02:17.836799148,-0.8889452871044472,,,,,,,,-1.1429211618184896,-0.04099703928595755,-0.9381410988496542,0.04919581174520704,25.705267459746082,0.14291552200831248,-5.131778260657544,0.22477423478912684,12,,,,,
1,1,12 SPL A Path O 2A,0.225,15317.0,178.989,O 2A,,,,O,2,0.533333333333333,1927.249,1937.022178,1937.090823,-1.107188800821934,25.659577248793884,-1.0309761336736565,-5.089953472897445,1937.089618,,-1.0309761336736565,25.696800077692483,-5.053846956637513,,,,,,,,,,,,,,,,,,,1937-02-03 03:36:34.128000010,-0.8112805708219339,-0.7350438390069901,,,,,,,-1.108404557268036,0.0012157564461021675,-0.864718702505783,0.05343813168384903,25.703716556745054,-0.044139307951169826,-5.10931164657994,0.019358173682494595,2,,,,,
2,2,12 SPL A Path O 3A,0.208,14281.0,180.81,O 3A,,,,O,3,0.633333333333333,1927.3490000000002,1937.128349,1937.191574,-0.8018213990945885,25.58264000252917,-1.0319036592227724,-5.164583371146676,1937.1801336666667,,-1.0319036592227724,25.62715993097674,-5.121398595353252,,,,,,,,,,,,,,,,,,,1937-03-11 22:11:17.663998296,-0.5049056590945891,-0.7351023225561057,,,,,,,-1.0778400470880316,0.2760186479934431,-0.8314777214145885,0.32657206231999947,25.703711009342953,-0.12107100681378213,-5.0889381244555,-0.07564524669117656,3,,,,,
3,3,12 SPL A Path O 4A,0.251,12052.0,146.341,O 4A,,,,O,4,0.733333333333333,1927.449,1937.23452,1937.258004,-1.1867007777517944,25.639262541607163,-1.0775348944902012,-5.109658942015635,1937.282692,,-1.0775348944902012,25.663801278470782,-5.085856121870556,,,,,,,,,,,,,,,,,,,1937-04-05 04:06:54.144000886,-0.8891207377517941,-0.7797079744902015,,,,,,,-1.0600572872838638,-0.12664349046793055,-0.8004676945408384,-0.08865304321095568,25.704191339034022,-0.06492879742685886,-5.076867494467987,-0.03279144754764829,4,,,,,
4,4,12 SPL A Path O 5A,0.249,16673.0,212.049,O 5A,,,,O,5,0.833333333333333,1927.549,1937.340692,1937.398498,-1.2440825066242212,25.76950129127601,-1.1512268609775216,-4.983326052449357,1937.4045193333334,,-1.1512268609775216,25.72248613650034,-5.028931222733303,,,,,,,,,,,,,,,,,,,1937-05-26 10:50:32.928000560,-0.945097526624221,-0.8521816676441878,,,,,,,-1.0414946726320808,-0.2025878339921403,-0.7716267290072455,-0.17347079761697548,25.705137001588927,0.06436428968708441,-5.063980791157811,0.08065473870845441,5,,,,,
5,5,12 SPL A Path O 6A,0.245,21957.0,270.774,O 6A,,,,O,6,0.933333333333333,1927.6490000000001,1937.446863,1937.557056,-1.0228972985565492,25.758694576617852,-1.0847359976747588,-4.993808673734918,1937.540798,,-1.0847359976747588,25.760319112219694,-4.992232857955774,,,,,,,,,,,,,,,,,,,1937-07-23 07:48:38.016003229,-0.7223267385565482,-0.784328017674758,,,,,,,-1.022041347620972,-0.000855950935577221,-0.7202044104513815,-0.00212232810516666,25.70834214837293,0.05035242824492059,-5.0501596357607275,0.05635096202580936,7,,,,,
6,6,12 SPL A Path O 7A,0.233,18377.0,227.759,O 7A,,,,O,7,1.03333333333333,1927.749,1937.553034,1937.66684,-0.9872281878435057,25.752761468765218,-1.0388454409207255,-4.999563847683049,1937.6668403333333,,-1.0388454409207255,25.77250990834135,-4.980407663809808,,,,,,,,,,,,,,,,,,,1937-09-01 09:31:06.240002930,-0.6855597878435048,-0.7371770375873917,,,,,,,-1.0002870550989675,0.013058867255461792,-0.6767156227286981,-0.008844165114806679,25.713162095860323,0.03959937290489535,-5.0342617643695915,0.03469791668654221,9,,,,,
7,7,12 SPL A Path O 8A,0.246,17131.0,215.102,O 8A,,,,O,8,1.13333333333333,1927.8490000000002,1937.659206,1937.776625,-1.106410836362122,25.806073679640978,-1.0702348930433334,-4.947850470011456,1937.7826459999999,,-1.0702348930433334,25.742278191059455,-5.009732731890416,,,,,,,,,,,,,,,,,,,1937-10-11 11:14:05.999998968,-0.8036445863621222,-0.7674084330433332,,,,,,,-0.9810142545163574,-0.12539658184576452,-0.6577915707365809,-0.14585301562554132,25.716126259294462,0.08994742034651537,-5.019584054940244,0.07173358492878812,10,,,,,
8,8,12 SPL A Path O 9A,0.213,14001.0,171.0,O 9A,,,,O,9,1.23333333333333,1927.949,1937.765377,1937.904473,-1.1170656549243732,25.667999424772173,-1.030703880746015,-5.0817838779767435,1937.898284,,-1.030703880746015,25.716024094884133,-5.035199467721443,,,,,,,,,,,,,,,,,,,1937-11-27 03:11:00.528001662,-0.8130209249243726,-0.7267210407460146,,,,,,,-0.9693017917863054,-0.14776386313806777,-0.6406652228208969,-0.17235570210347573,25.719432490216455,-0.05143306544428228,-5.010377486937826,-0.07140639103891733,11,,,,,
9,9,12 SPL A Path O 10A,0.248,14981.0,191.732,O 10A,1.0,1.0,,O,10,1.33333333333333,1928.049,1937.871548,1938.013754,-0.8686351509515498,25.673999180239246,-1.0443789582103165,-5.075964055176129,1938.006639,,-1.0443789582103165,25.634957236396293,-5.113835131123229,,,,,,,,,,,,,,,,,,,1938-01-06 00:29:06.144001976,-0.5634976109515492,-0.7393125682103161,,,,,,,-0.9524362894707369,0.08380113851918713,-0.6115580677096794,0.0480604567581302,25.72698897760669,-0.052989797367445135,-4.996524466856656,-0.07943958831947295,1,,,,,
